Date,Close,Weekday
09-30-1999,5.7,3
10-31-1999,6.0,6
11-30-1999,6.3,1
12-31-1999,6.6,4
01-31-2000,6.3,0
02-29-2000,5.9,1
03-31-2000,5.9,4
04-30-2000,6.0,6
05-31-2000,6.2,2
06-30-2000,6.5,4
07-31-2000,6.4,0
08-31-2000,6.0,3
09-30-2000,5.5,5
10-31-2000,4.9,1
11-30-2000,4.6,3
12-31-2000,4.0,6
01-31-2001,4.0,2
02-28-2001,4.3,2
03-31-2001,4.5,5
04-30-2001,3.8,0
05-31-2001,3.0,3
06-30-2001,1.6,5
07-31-2001,1.3,1
08-31-2001,1.4,4
09-30-2001,1.6,6
10-31-2001,1.6,2
11-30-2001,1.6,4
12-31-2001,1.7,0
01-31-2002,1.7,3
02-28-2002,1.6,3
03-31-2002,1.2,6
04-30-2002,1.2,1
05-31-2002,1.4,4
06-30-2002,2.1,6
07-31-2002,2.4,2
08-31-2002,2.3,5
09-30-2002,2.3,0
10-31-2002,2.3,3
11-30-2002,2.3,5
12-31-2002,2.4,1
01-31-2003,2.4,4
02-28-2003,2.2,4
03-31-2003,2.1,0
04-30-2003,2.0,2
05-31-2003,2.1,5
06-30-2003,2.0,0
07-31-2003,2.1,3
08-31-2003,2.2,6
09-30-2003,2.2,1
10-31-2003,2.2,4
11-30-2003,2.1,6
12-31-2003,2.2,2
01-31-2004,2.2,5
02-29-2004,2.4,6
03-31-2004,2.3,2
04-30-2004,2.2,4
05-31-2004,2.1,0
06-30-2004,2.1,2
07-31-2004,1.8,5
08-31-2004,1.8,1
09-30-2004,1.8,3
10-31-2004,1.7,6
11-30-2004,1.8,1
12-31-2004,1.7,4
01-31-2005,1.7,0
02-28-2005,1.7,0
03-31-2005,1.7,3
04-30-2005,1.7,5
05-31-2005,1.9,1
06-30-2005,2.0,3
07-31-2005,2.2,6
08-31-2005,2.3,2
09-30-2005,2.2,4
10-31-2005,2.1,0
11-30-2005,2.1,2
12-31-2005,2.2,5
01-31-2006,2.3,1
02-28-2006,2.2,1
03-31-2006,2.2,4
04-30-2006,2.2,6
05-31-2006,2.1,2
06-30-2006,2.2,4
07-31-2006,2.3,0
08-31-2006,2.2,3
09-30-2006,2.1,5
10-31-2006,2.0,1
11-30-2006,1.9,3
12-31-2006,1.9,6
01-31-2007,1.8,2
02-28-2007,1.8,2
03-31-2007,1.8,5
04-30-2007,1.7,0
05-31-2007,1.8,3
06-30-2007,1.8,5
07-31-2007,1.7,1
08-31-2007,1.6,4
09-30-2007,1.6,6
10-31-2007,1.7,2
11-30-2007,1.8,4
12-31-2007,1.7,0
01-31-2008,1.7,3
02-29-2008,1.9,4
03-31-2008,1.9,0
04-30-2008,2.0,2
05-31-2008,1.8,5
06-30-2008,1.7,0
07-31-2008,1.6,3
08-31-2008,1.6,6
09-30-2008,1.7,1
10-31-2008,1.7,4
11-30-2008,1.7,6
12-31-2008,1.7,2
01-31-2009,1.8,5
02-28-2009,1.7,5
03-31-2009,1.6,1
04-30-2009,1.7,3
05-31-2009,1.7,6
06-30-2009,1.9,1
07-31-2009,2.0,4
08-31-2009,1.9,0
09-30-2009,1.9,2
10-31-2009,1.9,5
11-30-2009,2.0,0
12-31-2009,2.0,3
01-31-2010,1.9,6
02-28-2010,2.1,6
03-31-2010,2.2,2
04-30-2010,2.3,4
05-31-2010,2.3,0
06-30-2010,2.3,2
07-31-2010,2.2,5
08-31-2010,2.3,1
09-30-2010,2.2,3
10-31-2010,2.2,6
11-30-2010,2.1,1
12-31-2010,2.0,4
01-31-2011,2.0,0
02-28-2011,1.8,0
03-31-2011,1.6,3
04-30-2011,1.5,5
05-31-2011,1.3,1
06-30-2011,1.2,3
07-31-2011,1.1,6
08-31-2011,1.0,2
09-30-2011,0.8,4
10-31-2011,0.8,0
11-30-2011,0.6,2
12-31-2011,0.8,5
01-31-2012,0.9,1
02-29-2012,0.9,2
03-31-2012,0.9,5
04-30-2012,0.9,0
05-31-2012,0.9,3
06-30-2012,1.1,5
07-31-2012,1.3,1
08-31-2012,1.6,4
09-30-2012,1.8,6
10-31-2012,1.7,2
11-30-2012,1.7,4
12-31-2012,1.5,0
01-31-2013,1.4,3
02-28-2013,1.5,3
03-31-2013,1.7,6
04-30-2013,1.8,1
05-31-2013,1.9,4
06-30-2013,1.8,6
07-31-2013,1.8,2
08-31-2013,1.7,5
09-30-2013,1.8,0
10-31-2013,2.0,3
11-30-2013,2.2,5
12-31-2013,2.5,1
01-31-2014,2.5,4
02-28-2014,2.5,4
03-31-2014,2.4,0
04-30-2014,2.3,2
05-31-2014,2.3,5
06-30-2014,2.4,0
07-31-2014,2.3,3
08-31-2014,2.5,6
09-30-2014,2.4,1
10-31-2014,2.3,4
11-30-2014,2.2,6
12-31-2014,2.1,2
01-31-2015,2.1,5
02-28-2015,2.2,5
03-31-2015,2.2,1
04-30-2015,2.2,3
05-31-2015,2.3,6
06-30-2015,2.5,1
07-31-2015,2.7,4
08-31-2015,2.7,0
09-30-2015,2.6,2
10-31-2015,2.6,5
11-30-2015,2.7,0
12-31-2015,2.9,3
01-31-2016,2.8,6
02-29-2016,2.7,0
03-31-2016,2.6,3
04-30-2016,2.4,5
05-31-2016,2.3,1
06-30-2016,2.1,3
07-31-2016,2.1,6
08-31-2016,2.1,2
09-30-2016,2.2,4
10-31-2016,2.1,0
11-30-2016,2.1,2
12-31-2016,2.0,5
01-31-2017,2.1,1
02-28-2017,2.1,1
03-31-2017,2.0,4
04-30-2017,2.2,6
05-31-2017,2.2,2
06-30-2017,2.3,4
07-31-2017,2.4,0
08-31-2017,2.3,3
09-30-2017,2.2,5
10-31-2017,2.2,1
11-30-2017,2.0,3
12-31-2017,2.0,6
01-31-2018,1.7,2
02-28-2018,1.8,2
03-31-2018,1.9,5
04-30-2018,1.7,0
05-31-2018,1.8,3
06-30-2018,1.6,5
07-31-2018,1.2,1
08-31-2018,1.1,4
09-30-2018,1.1,6
10-31-2018,1.1,2
11-30-2018,1.3,4
12-31-2018,1.2,0
01-31-2019,1.3,3
02-28-2019,1.5,3
03-31-2019,1.5,6
04-30-2019,1.6,1
05-31-2019,1.5,4
06-30-2019,1.7,6
07-31-2019,1.7,2
08-31-2019,1.9,5
09-30-2019,1.9,0
10-31-2019,2.0,3
11-30-2019,2.2,5
12-31-2019,2.2,1
01-31-2020,2.4,4
02-29-2020,2.2,5
03-31-2020,2.3,1
04-30-2020,2.5,3
05-31-2020,2.5,6
06-30-2020,2.4,1
07-31-2020,2.6,4
08-31-2020,2.6,0
09-30-2020,2.7,2
10-31-2020,2.8,5
11-30-2020,2.6,0
12-31-2020,2.6,3
01-31-2021,2.7,6
02-28-2021,2.7,6
03-31-2021,2.7,2
04-30-2021,2.5,4
05-31-2021,2.6,0
06-30-2021,2.7,2
07-31-2021,2.7,5
08-31-2021,2.6,1
09-30-2021,2.6,3
10-31-2021,2.6,6
11-30-2021,2.5,1
12-31-2021,2.6,4
01-31-2022,2.6,0
02-28-2022,2.5,0
03-31-2022,2.5,3
04-30-2022,2.4,5
05-31-2022,2.3,1
06-30-2022,2.4,3
07-31-2022,2.2,6
08-31-2022,2.0,2
09-30-2022,1.9,4
10-31-2022,2.1,0
11-30-2022,2.1,2
12-31-2022,2.0,5
