Date,Open,High,Low,Close,Weekday
08-24-2011,90.59,90.59,90.59,90.59,2
08-25-2011,90.59,90.59,90.59,90.59,3
08-26-2011,90.59,90.59,90.59,90.59,4
08-29-2011,90.5,90.5,90.5,90.5,0
08-30-2011,89.75,89.75,89.75,89.75,1
08-31-2011,89.75,89.75,89.75,89.75,2
09-01-2011,89.55,89.55,89.55,89.55,3
09-02-2011,89.5,89.5,89.5,89.5,4
09-05-2011,90.0,90.0,90.0,90.0,0
09-06-2011,90.0,90.0,90.0,90.0,1
09-07-2011,90.5,90.5,90.5,90.5,2
09-08-2011,91.5,91.5,91.5,91.5,3
09-09-2011,92.5,92.5,92.5,92.5,4
09-12-2011,93.5,93.5,93.5,93.5,0
09-13-2011,93.5,93.5,93.5,93.5,1
09-14-2011,93.5,93.5,93.5,93.5,2
09-15-2011,93.4,93.4,93.4,93.4,3
09-16-2011,79.85,79.85,79.85,79.85,4
09-19-2011,79.85,79.85,79.85,79.85,0
09-20-2011,79.85,79.85,79.85,79.85,1
09-21-2011,79.85,79.85,79.85,79.85,2
09-22-2011,79.85,79.85,79.85,79.85,3
09-23-2011,79.85,79.85,79.85,79.85,4
09-26-2011,79.7,79.7,79.7,79.7,0
09-27-2011,79.0,79.0,79.0,79.0,1
09-28-2011,79.0,79.0,79.0,79.0,2
09-29-2011,79.0,79.0,79.0,79.0,3
09-30-2011,79.0,79.0,79.0,79.0,4
10-03-2011,78.7,78.7,78.7,78.7,0
10-04-2011,78.0,78.0,78.0,78.0,1
10-05-2011,77.5,77.5,77.5,77.5,2
10-06-2011,77.0,77.0,77.0,77.0,3
10-07-2011,76.0,76.0,76.0,76.0,4
10-10-2011,76.0,76.0,76.0,76.0,0
10-11-2011,76.0,76.0,76.0,76.0,1
10-12-2011,77.0,77.0,77.0,77.0,2
10-13-2011,78.0,78.0,78.0,78.0,3
10-14-2011,73.55,73.55,73.55,73.55,4
10-17-2011,73.55,73.55,73.55,73.55,0
10-18-2011,73.55,73.55,73.55,73.55,1
10-19-2011,73.55,73.55,73.55,73.55,2
10-20-2011,73.55,73.55,73.55,73.55,3
10-21-2011,73.5,73.5,73.5,73.5,4
10-24-2011,73.0,73.0,73.0,73.0,0
10-25-2011,73.0,73.0,73.0,73.0,1
10-26-2011,73.25,73.25,73.25,73.25,2
10-28-2011,73.25,73.25,73.25,73.25,4
11-07-2011,73.0,73.25,73.0,73.25,0
11-08-2011,73.0,73.0,73.0,73.0,1
11-09-2011,73.0,73.0,73.0,73.0,2
11-10-2011,71.5,71.5,71.5,71.5,3
11-11-2011,71.5,71.5,71.5,71.5,4
11-14-2011,71.5,71.5,71.5,71.5,0
11-15-2011,71.0,71.0,71.0,71.0,1
11-16-2011,69.5,69.5,69.5,69.5,2
11-17-2011,67.5,67.5,67.5,67.5,3
11-18-2011,70.26,70.26,70.26,70.26,4
11-21-2011,70.26,70.26,70.26,70.26,0
11-22-2011,70.26,70.26,70.26,70.26,1
11-23-2011,70.26,70.26,70.26,70.26,2
11-24-2011,70.26,70.26,70.26,70.26,3
11-25-2011,70.0,70.0,70.0,70.0,4
11-28-2011,70.0,70.0,70.0,70.0,0
11-29-2011,70.0,70.0,70.0,70.0,1
11-30-2011,70.0,70.0,70.0,70.0,2
12-01-2011,70.0,70.0,70.0,70.0,3
12-02-2011,70.0,70.0,70.0,70.0,4
12-05-2011,70.0,70.0,70.0,70.0,0
12-06-2011,70.25,70.25,70.25,70.25,1
12-07-2011,70.25,70.25,70.25,70.25,2
12-08-2011,70.5,70.5,70.5,70.5,3
12-09-2011,70.5,70.5,70.5,70.5,4
12-12-2011,71.5,71.5,71.5,71.5,0
12-13-2011,72.1,72.1,72.1,72.1,1
12-14-2011,72.1,72.1,72.1,72.1,2
12-15-2011,72.1,72.1,72.1,72.1,3
12-16-2011,70.2,70.2,70.2,70.2,4
12-19-2011,70.2,70.2,70.2,70.2,0
