Date,Open,High,Low,Close,Weekday
02-01-1999,0.497,0.501,0.487,0.496,0
02-02-1999,0.472,0.498,0.471,0.498,1
02-03-1999,0.489,0.493,0.481,0.492,2
02-04-1999,0.485,0.5,0.482,0.496,3
02-05-1999,0.481,0.492,0.473,0.484,4
02-08-1999,0.483,0.494,0.475,0.491,0
02-09-1999,0.445,0.497,0.44,0.493,1
02-10-1999,0.413,0.447,0.409,0.446,2
02-12-1999,0.392,0.419,0.385,0.419,4
02-15-1999,0.398,0.403,0.38,0.391,0
02-16-1999,0.423,0.423,0.384,0.386,1
02-17-1999,0.422,0.444,0.406,0.441,2
02-18-1999,0.514,0.518,0.361,0.459,3
02-19-1999,0.504,0.539,0.502,0.524,4
02-22-1999,0.516,0.53,0.502,0.527,0
02-23-1999,0.551,0.575,0.506,0.512,1
02-24-1999,0.506,0.514,0.503,0.51,2
02-25-1999,0.504,0.507,0.501,0.505,3
02-26-1999,0.503,0.509,0.501,0.508,4
03-01-1999,0.503,0.506,0.501,0.505,0
03-02-1999,0.465,0.472,0.421,0.434,1
03-03-1999,0.437,0.47,0.429,0.465,2
03-04-1999,0.469,0.479,0.418,0.422,3
03-05-1999,0.464,0.468,0.449,0.461,4
03-08-1999,0.481,0.487,0.448,0.462,0
03-09-1999,0.452,0.479,0.45,0.476,1
03-10-1999,0.385,0.452,0.352,0.447,2
03-11-1999,0.414,0.414,0.38,0.385,3
03-12-1999,0.467,0.467,0.391,0.4,4
03-15-1999,0.427,0.487,0.419,0.48,0
03-16-1999,0.257,0.444,0.252,0.408,1
03-17-1999,0.257,0.259,0.255,0.255,2
03-18-1999,0.257,0.259,0.252,0.254,3
03-19-1999,0.257,0.261,0.252,0.256,4
03-23-1999,0.254,0.254,0.251,0.252,1
03-24-1999,0.252,0.257,0.252,0.254,2
03-25-1999,0.253,0.257,0.252,0.253,3
03-26-1999,0.255,0.259,0.253,0.256,4
03-29-1999,0.255,0.259,0.254,0.255,0
03-30-1999,0.255,0.256,0.254,0.255,1
03-31-1999,0.26,0.263,0.251,0.256,2
04-01-1999,0.259,0.261,0.251,0.255,3
04-02-1999,0.255,0.262,0.254,0.255,4
04-05-1999,0.255,0.261,0.252,0.253,0
04-06-1999,0.255,0.261,0.251,0.253,1
04-07-1999,0.255,0.264,0.251,0.253,2
04-08-1999,0.255,0.258,0.251,0.253,3
04-09-1999,0.254,0.274,0.249,0.254,4
04-12-1999,0.249,0.251,0.244,0.248,0
04-13-1999,0.253,0.257,0.246,0.249,1
04-14-1999,0.254,0.255,0.245,0.247,2
04-15-1999,0.25,0.252,0.245,0.249,3
04-16-1999,0.244,0.249,0.241,0.246,4
04-19-1999,0.237,0.256,0.236,0.248,0
04-20-1999,0.241,0.249,0.238,0.245,1
04-21-1999,0.241,0.249,0.236,0.244,2
04-22-1999,0.242,0.245,0.234,0.242,3
04-23-1999,0.251,0.253,0.247,0.253,4
04-26-1999,0.251,0.253,0.248,0.253,0
04-27-1999,0.251,0.257,0.25,0.252,1
04-28-1999,0.253,0.257,0.251,0.257,2
04-30-1999,0.251,0.264,0.251,0.257,4
05-06-1999,0.252,0.256,0.251,0.254,3
05-07-1999,0.246,0.257,0.246,0.257,4
05-10-1999,0.246,0.249,0.24,0.248,0
05-11-1999,0.252,0.252,0.236,0.248,1
05-12-1999,0.251,0.262,0.239,0.256,2
05-13-1999,0.25,0.255,0.25,0.253,3
05-14-1999,0.255,0.257,0.25,0.255,4
05-17-1999,0.251,0.257,0.249,0.255,0
05-18-1999,0.251,0.259,0.251,0.256,1
05-19-1999,0.256,0.257,0.251,0.255,2
05-20-1999,0.252,0.259,0.25,0.257,3
