Date,Open,High,Low,Close,Volume,Weekday
01-08-1999,407.45,408.25,400.5,401.2,81881.0,4
01-11-1999,404.75,412.05,403.95,409.7,96577.0,0
01-12-1999,407.0,411.65,401.6,403.55,85499.0,1
01-13-1999,403.8,408.65,400.25,408.05,90917.0,2
01-14-1999,404.15,407.4,399.3,403.5,75842.0,3
01-15-1999,409.1,413.6,403.05,405.65,91467.0,4
01-19-1999,418.15,419.95,407.8,409.1,82560.0,1
01-20-1999,422.35,422.5,410.25,411.1,88150.0,2
01-21-1999,418.45,423.15,411.85,422.6,86173.0,3
01-22-1999,423.0,424.9,416.8,420.2,63117.0,4
01-25-1999,428.2,428.7,417.2,422.25,63410.0,0
01-26-1999,426.45,429.0,423.25,426.75,58229.0,1
01-27-1999,426.45,427.35,421.1,424.45,51109.0,2
01-28-1999,425.9,428.25,421.55,424.85,51168.0,3
01-29-1999,427.95,430.25,422.6,425.65,57184.0,4
02-01-1999,424.5,427.95,420.65,425.15,59745.0,0
02-02-1999,422.65,426.85,416.8,423.15,78544.0,1
02-03-1999,423.35,435.5,420.5,423.45,104618.0,2
02-04-1999,421.05,424.45,411.05,422.3,113107.0,3
02-05-1999,417.3,422.25,412.85,421.6,69519.0,4
02-08-1999,417.55,421.15,412.95,419.65,96267.0,0
02-09-1999,408.0,418.5,406.55,416.6,88479.0,1
02-10-1999,401.2,408.35,398.75,407.75,72221.0,2
02-11-1999,392.35,404.45,392.35,402.65,102472.0,3
02-12-1999,382.55,393.0,379.85,391.1,96746.0,4
02-16-1999,374.05,384.2,372.15,382.1,76730.0,1
02-17-1999,377.1,380.7,370.85,374.05,80266.0,2
02-18-1999,383.55,387.15,375.85,376.65,83900.0,3
02-19-1999,382.85,385.15,379.55,381.05,43083.0,4
02-22-1999,383.5,385.2,380.75,382.4,36867.0,0
02-23-1999,384.2,384.2,381.9,383.2,375.0,1
02-24-1999,386.4,392.8,383.4,383.35,380.0,2
02-25-1999,378.35,381.1,376.0,380.3,370.0,3
02-26-1999,382.2,383.7,375.05,375.15,591.0,4
03-01-1999,380.7,381.4,380.4,380.6,578.0,0
03-02-1999,374.7,380.55,372.5,379.75,585.0,1
03-03-1999,381.1,381.1,375.15,378.3,601.0,2
03-04-1999,377.9,379.6,374.0,376.15,616.0,3
03-05-1999,385.75,385.75,375.85,376.3,1002.0,4
03-08-1999,383.8,387.65,382.7,387.5,589.0,0
03-09-1999,382.1,391.45,380.6,383.95,522.0,1
03-10-1999,384.1,384.55,378.95,379.85,542.0,2
03-11-1999,388.0,391.2,385.0,387.6,599.0,3
03-12-1999,383.7,390.45,383.7,388.05,786.0,4
03-15-1999,381.85,385.7,377.75,385.55,535.0,0
03-16-1999,378.6,385.75,378.6,381.15,856.0,1
03-17-1999,387.05,387.15,377.0,378.95,686.0,2
