Date,Open,High,Low,Close,Weekday
02-01-1999,-3327.0,-3237.46,-3526.18,-3493.25,0
02-02-1999,-3331.75,-3254.25,-3384.64,-3327.0,1
02-03-1999,-3422.25,-3311.0,-3463.03,-3341.0,2
02-04-1999,-3443.0,-3397.75,-3483.86,-3427.5,3
02-05-1999,-3395.46,-3310.17,-3462.75,-3443.0,4
02-08-1999,-3439.0,-3249.3,-3439.67,-3410.5,0
02-09-1999,-3408.61,-3294.73,-3466.5,-3440.0,1
02-10-1999,-3432.98,-3340.28,-3470.39,-3408.62,2
02-12-1999,-3513.49,-3396.94,-3534.0,-3432.99,4
02-15-1999,-3468.12,-3401.03,-3528.23,-3514.74,0
02-16-1999,-3320.43,-3292.78,-3472.09,-3447.66,1
02-17-1999,-3276.13,-3206.96,-3339.5,-3320.68,2
02-18-1999,-3283.98,-3220.48,-3521.93,-3276.88,3
02-19-1999,-3211.27,-3137.38,-3348.5,-3284.48,4
02-22-1999,-3156.43,-3067.9,-3211.77,-3201.0,0
02-23-1999,-3235.5,-2995.12,-3262.5,-3128.5,1
02-24-1999,-3474.0,-3171.65,-3475.3,-3235.5,2
02-25-1999,-3494.0,-3330.0,-3537.51,-3478.0,3
02-26-1999,-3419.0,-3267.4,-3506.0,-3495.0,4
03-01-1999,-3534.51,-3317.5,-3534.51,-3419.5,0
03-02-1999,-3609.0,-3477.48,-3661.5,-3479.5,1
03-03-1999,-3490.69,-3459.9,-3678.5,-3609.5,2
03-04-1999,-3574.31,-3392.94,-3594.98,-3557.67,3
03-05-1999,-3621.35,-3523.0,-3683.5,-3574.31,4
03-08-1999,-3689.22,-3624.06,-3694.33,-3676.45,0
03-09-1999,-3729.3,-3646.92,-3762.58,-3687.84,1
03-10-1999,-3833.82,-3710.68,-3835.0,-3729.06,2
03-11-1999,-3767.41,-3710.86,-3838.53,-3834.07,3
03-12-1999,-3729.66,-3641.75,-3764.14,-3758.9,4
03-15-1999,-3729.91,-3659.3,-3811.02,-3729.66,0
03-16-1999,-3699.9,-3604.39,-3741.0,-3729.89,1
03-17-1999,-3693.49,-3605.02,-3727.47,-3700.65,2
03-18-1999,-3674.87,-3615.02,-3712.05,-3693.49,3
03-19-1999,-3907.79,-3634.97,-3929.01,-3674.87,4
03-23-1999,-3832.61,-3712.14,-3934.09,-3908.79,1
03-24-1999,-3805.0,-3718.31,-3917.48,-3829.28,2
03-25-1999,-3830.59,-3730.49,-3858.3,-3806.0,3
03-26-1999,-3859.33,-3741.97,-3876.0,-3841.3,4
03-29-1999,-3984.31,-3741.0,-4004.7,-3859.83,0
03-30-1999,-3933.75,-3838.0,-3997.18,-3984.81,1
03-31-1999,-3829.91,-3711.6,-3937.12,-3919.19,2
04-01-1999,-3787.0,-3716.36,-3846.0,-3830.91,3
04-02-1999,-3863.76,-3736.0,-3898.0,-3829.5,4
04-05-1999,-3872.79,-3758.64,-3905.0,-3858.76,0
04-06-1999,-3742.58,-3681.59,-3883.33,-3872.28,1
04-07-1999,-3789.85,-3704.0,-3873.68,-3741.94,2
04-08-1999,-4044.25,-3775.44,-4044.25,-3789.35,3
04-09-1999,-4084.44,-3989.36,-4163.2,-4044.75,4
04-12-1999,-4071.08,-3986.81,-4120.04,-4083.44,0
04-13-1999,-4115.19,-3959.63,-4132.62,-4071.08,1
04-14-1999,-4128.83,-3987.07,-4161.0,-4114.7,2
04-15-1999,-4208.0,-4068.16,-4209.08,-4129.33,3
04-16-1999,-4307.57,-4188.49,-4322.97,-4264.86,4
04-19-1999,-4391.0,-4268.48,-4392.18,-4308.57,0
04-20-1999,-4321.58,-4230.27,-4440.08,-4392.78,1
04-21-1999,-4271.06,-4175.62,-4331.03,-4324.18,2
04-22-1999,-4181.0,-4050.97,-4321.0,-4270.07,3
04-23-1999,-4320.0,-4116.5,-4364.51,-4181.0,4
04-26-1999,-4282.4,-4167.65,-4413.52,-4322.0,0
04-27-1999,-4357.43,-4210.96,-4419.0,-4366.0,1
04-28-1999,-4320.0,-4239.25,-4546.6,-4312.0,2
04-30-1999,-4722.0,-4357.55,-4875.16,-4450.0,4
05-06-1999,-4813.0,-4617.0,-4880.6,-4848.0,3
05-07-1999,-4804.21,-4692.96,-4951.0,-4813.0,4
05-10-1999,-4919.79,-4730.47,-4946.69,-4909.71,0
05-11-1999,-4979.32,-4784.51,-5003.16,-4919.82,1
05-12-1999,-4912.71,-4795.58,-5087.0,-4979.32,2
05-13-1999,-4903.07,-4758.46,-4938.2,-4911.87,3
05-14-1999,-4981.53,-4754.65,-4981.73,-4903.07,4
05-17-1999,-4743.92,-4723.57,-5004.95,-4981.53,0
05-18-1999,-4802.65,-4630.4,-4901.08,-4876.42,1
05-19-1999,-4878.11,-4682.55,-4899.0,-4803.15,2
05-20-1999,-4962.37,-4801.98,-5026.0,-4878.11,3
05-21-1999,-5056.93,-4866.5,-5072.41,-4961.87,4
05-24-1999,-5074.84,-4840.42,-5125.52,-5056.95,0
05-25-1999,-5076.94,-4940.59,-5270.0,-5060.71,1
05-26-1999,-5040.81,-4865.0,-5104.1,-5076.94,2
05-27-1999,-4902.81,-4732.17,-5020.08,-5003.31,3
05-28-1999,-4913.3,-4700.24,-4952.05,-4902.81,4
05-31-1999,-4927.1,-4691.3,-4939.05,-4913.3,0
06-01-1999,-4833.92,-4681.49,-4920.05,-4910.33,1
06-02-1999,-4821.77,-4589.0,-4870.87,-4833.92,2
06-03-1999,-4779.0,-4597.92,-4825.91,-4821.77,3
06-04-1999,-4730.56,-4585.82,-4777.03,-4777.0,4
06-07-1999,-4738.38,-4551.71,-4769.33,-4722.0,0
06-08-1999,-4705.0,-4487.0,-4744.75,-4742.44,1
06-09-1999,-4645.97,-4434.0,-4705.0,-4703.0,2
06-10-1999,-4531.0,-4301.98,-4653.66,-4645.97,3
06-11-1999,-4519.0,-4334.88,-4584.76,-4529.0,4
06-14-1999,-4494.67,-4343.47,-4646.52,-4519.0,0
06-15-1999,-4565.0,-4422.99,-4642.22,-4638.38,1
06-16-1999,-4522.0,-4409.0,-4604.9,-4564.0,2
06-17-1999,-4680.92,-4442.5,-4721.05,-4521.0,3
06-18-1999,-4663.1,-4433.44,-4733.86,-4680.92,4
06-21-1999,-4366.95,-4345.9,-4677.8,-4663.1,0
06-22-1999,-4484.7,-4373.0,-4588.47,-4474.54,1
06-23-1999,-4418.44,-4220.94,-4526.69,-4484.7,2
06-24-1999,-4411.76,-4203.0,-4451.41,-4418.44,3
06-25-1999,-4335.0,-4160.0,-4423.17,-4411.76,4
06-28-1999,-4346.85,-4149.89,-4358.06,-4335.0,0
06-29-1999,-4379.98,-4161.0,-4395.84,-4336.0,1
06-30-1999,-4361.0,-4173.0,-4400.0,-4379.98,2
07-01-1999,-4371.13,-4190.0,-4491.48,-4361.0,3
07-02-1999,-4265.09,-4092.95,-4446.77,-4371.13,4
07-05-1999,-4227.17,-4061.63,-4286.0,-4265.09,0
07-06-1999,-4254.63,-4021.99,-4300.19,-4221.1,1
07-07-1999,-4301.0,-3986.95,-4323.01,-4254.63,2
07-08-1999,-4251.31,-4002.0,-4328.01,-4301.0,3
07-09-1999,-4083.99,-3876.0,-4266.44,-4251.31,4
07-12-1999,-4103.25,-3833.79,-4113.67,-4083.99,0
07-13-1999,-4109.56,-3872.0,-4156.17,-4073.0,1
07-14-1999,-4037.0,-3812.0,-4142.62,-4109.56,2
07-15-1999,-3968.79,-3705.0,-4037.02,-4037.0,3
07-16-1999,-3896.0,-3669.0,-4025.11,-3968.79,4
07-19-1999,-3892.06,-3701.0,-3923.01,-3893.0,0
07-21-1999,-3854.0,-3626.0,-3887.47,-3871.0,2
07-22-1999,-3920.64,-3669.0,-3943.69,-3855.0,3
07-23-1999,-3880.76,-3706.5,-3951.05,-3920.64,4
07-26-1999,-3866.64,-3669.28,-3937.59,-3880.78,0
07-27-1999,-3792.41,-3515.0,-3883.71,-3867.14,1
07-28-1999,-3697.02,-3583.33,-3788.54,-3772.77,2
07-29-1999,-3671.02,-3417.0,-3706.56,-3696.52,3
07-30-1999,-3575.39,-3422.0,-3682.4,-3671.02,4
08-02-1999,-3531.24,-3386.1,-3630.0,-3576.39,0
08-03-1999,-3609.17,-3359.0,-3619.85,-3531.24,1
08-04-1999,-3613.0,-3389.6,-3622.53,-3588.0,2
08-05-1999,-3529.0,-3399.2,-3621.0,-3613.0,3
08-06-1999,-3615.0,-3341.0,-3633.07,-3528.0,4
08-09-1999,-3616.0,-3350.94,-3644.67,-3616.0,0
08-11-1999,-3677.94,-3408.0,-3690.53,-3615.0,2
08-12-1999,-3482.0,-3248.0,-3677.51,-3628.83,3
08-13-1999,-3568.0,-3290.22,-3578.84,-3483.0,4
08-16-1999,-3482.01,-3228.93,-3606.13,-3569.0,0
08-17-1999,-3324.0,-3088.0,-3490.63,-3482.01,1
08-18-1999,-3472.03,-3230.0,-3482.43,-3325.0,2
08-19-1999,-3518.0,-3259.0,-3557.88,-3430.0,3
08-20-1999,-3708.0,-3380.0,-3719.17,-3518.0,4
08-23-1999,-3722.13,-3492.0,-3753.2,-3707.0,0
08-24-1999,-3738.23,-3514.0,-3763.38,-3722.13,1
08-25-1999,-3713.26,-3542.03,-3765.0,-3738.23,2
08-26-1999,-3783.0,-3592.35,-3852.78,-3683.0,3
08-27-1999,-3869.04,-3745.85,-3912.13,-3783.0,4
08-30-1999,-3875.92,-3782.04,-3907.58,-3869.04,0
08-31-1999,-3894.67,-3795.75,-3918.06,-3875.92,1
09-01-1999,-3867.04,-3796.44,-3921.22,-3893.67,2
09-02-1999,-3910.24,-3778.49,-3921.53,-3853.0,3
09-03-1999,-3816.0,-3763.67,-3921.3,-3910.24,4
09-06-1999,-3800.48,-3735.13,-3873.58,-3815.0,0
09-07-1999,-3833.0,-3724.13,-3872.56,-3800.48,1
09-08-1999,-3895.42,-3796.2,-3942.69,-3833.0,2
09-09-1999,-3853.02,-3735.38,-3904.34,-3881.25,3
09-10-1999,-3766.45,-3672.77,-3861.3,-3853.02,4
09-13-1999,-3595.0,-3554.62,-3776.02,-3766.45,0
09-14-1999,-3723.91,-3573.93,-3804.71,-3597.0,1
09-16-1999,-3706.61,-3619.64,-3745.44,-3723.91,3
09-17-1999,-3798.0,-3555.49,-3839.32,-3691.0,4
09-20-1999,-3932.0,-3774.0,-3958.1,-3797.0,0
09-21-1999,-3928.0,-3869.1,-3966.15,-3932.0,1
09-22-1999,-3925.33,-3901.19,-3995.08,-3929.5,2
09-23-1999,-3883.09,-3860.04,-3940.15,-3925.33,3
09-24-1999,-3807.0,-3761.13,-3895.61,-3866.58,4
09-27-1999,-3905.0,-3733.1,-3924.34,-3806.5,0
09-28-1999,-3986.94,-3848.6,-4020.02,-3903.5,1
09-29-1999,-3831.0,-3781.07,-3997.0,-3986.94,2
09-30-1999,-3758.66,-3753.14,-3899.61,-3831.0,3
10-01-1999,-3719.83,-3716.59,-3913.39,-3826.73,4
10-04-1999,-3910.43,-3712.86,-3982.02,-3716.0,0
10-05-1999,-4026.34,-3899.58,-4116.62,-3910.43,1
10-06-1999,-3920.5,-3848.63,-4031.13,-4025.35,2
10-07-1999,-3785.75,-3760.19,-3936.98,-3921.0,3
10-08-1999,-3715.15,-3651.82,-3798.3,-3761.83,4
10-12-1999,-3706.5,-3653.49,-3740.73,-3715.15,1
10-13-1999,-3634.22,-3628.99,-3711.64,-3706.5,2
10-14-1999,-3676.27,-3603.99,-3718.03,-3632.0,3
10-15-1999,-3522.89,-3508.61,-3679.2,-3676.27,4
10-18-1999,-3484.5,-3470.4,-3544.65,-3531.02,0
10-19-1999,-3441.85,-3422.5,-3501.54,-3484.5,1
10-20-1999,-3316.0,-3316.0,-3470.97,-3441.85,2
10-21-1999,-3253.0,-3252.86,-3353.81,-3317.0,3
10-22-1999,-3269.58,-3137.28,-3277.52,-3254.0,4
10-25-1999,-3289.32,-3216.79,-3300.68,-3249.0,0
10-26-1999,-3311.19,-3204.25,-3320.53,-3289.32,1
10-27-1999,-3256.5,-3242.14,-3328.44,-3311.19,2
10-28-1999,-3351.55,-3223.75,-3374.09,-3255.0,3
10-29-1999,-3319.85,-3276.13,-3363.96,-3351.0,4
11-01-1999,-3339.07,-3245.27,-3407.15,-3296.0,0
11-02-1999,-3428.0,-3274.96,-3462.99,-3337.0,1
11-04-1999,-3493.45,-3388.22,-3537.41,-3429.0,3
11-05-1999,-3406.0,-3328.28,-3520.41,-3493.45,4
11-08-1999,-3334.75,-3276.0,-3418.0,-3404.0,0
11-09-1999,-3379.17,-3306.58,-3481.92,-3459.34,1
11-10-1999,-3471.02,-3312.23,-3476.44,-3379.17,2
11-12-1999,-3497.0,-3366.69,-3580.56,-3471.02,4
11-15-1999,-3528.0,-3422.83,-3576.02,-3464.0,0
11-16-1999,-3605.46,-3520.36,-3704.0,-3527.0,1
11-17-1999,-3548.83,-3460.2,-3643.24,-3601.83,2
11-18-1999,-3481.0,-3338.71,-3634.14,-3548.83,3
11-19-1999,-3482.0,-3363.78,-3540.0,-3481.0,4
11-22-1999,-3488.08,-3372.93,-3542.0,-3482.0,0
11-24-1999,-3452.77,-3353.76,-3496.58,-3486.0,2
11-26-1999,-3414.04,-3270.6,-3489.43,-3435.52,4
11-29-1999,-3299.44,-3238.19,-3455.5,-3414.04,0
11-30-1999,-3200.0,-3095.69,-3307.67,-3299.44,1
12-01-1999,-3234.0,-3149.26,-3293.96,-3201.0,2
12-02-1999,-3329.98,-3175.98,-3340.37,-3233.0,3
12-03-1999,-3282.77,-3200.5,-3342.67,-3302.0,4
12-07-1999,-3306.0,-3175.84,-3313.41,-3282.77,1
12-08-1999,-3371.28,-3271.96,-3425.0,-3280.0,2
12-09-1999,-3233.0,-3232.07,-3386.51,-3374.53,3
12-10-1999,-3202.83,-3198.1,-3248.07,-3233.0,4
12-13-1999,-3193.0,-3140.81,-3208.23,-3202.93,0
12-15-1999,-3040.0,-3014.0,-3196.71,-3193.0,2
12-16-1999,-3058.0,-2985.47,-3145.04,-3041.0,3
12-17-1999,-3131.0,-3034.49,-3194.0,-3060.5,4
