Date,Open,High,Low,Close,Weekday
10-14-2021,87.35,88.325,86.2,86.45,3
10-15-2021,85.725,87.4,83.7,87.0,4
10-18-2021,85.85,85.85,84.5,85.325,0
10-19-2021,86.1,86.25,84.0,85.375,1
10-20-2021,86.05,86.525,84.625,85.45,2
10-21-2021,84.95,86.55,84.5,85.725,3
10-22-2021,86.075,86.225,84.075,84.4,4
10-25-2021,87.85,87.85,86.1,86.2,0
10-26-2021,88.25,89.075,87.525,88.125,1
10-27-2021,87.25,87.875,85.95,87.275,2
10-28-2021,88.4,88.725,86.25,87.175,3
10-29-2021,89.55,89.575,88.025,88.4,4
11-01-2021,90.825,90.85,89.375,89.525,0
11-02-2021,89.75,91.425,89.6,90.8,1
11-03-2021,91.4,91.55,89.575,89.65,2
11-04-2021,92.65,92.85,90.8,91.525,3
11-05-2021,93.65,95.025,92.5,92.9,4
11-08-2021,95.275,95.4,92.925,93.8,0
11-09-2021,95.7,96.15,94.975,95.3,1
11-10-2021,95.95,96.575,95.5,95.7,2
11-11-2021,95.675,96.85,95.5,96.575,3
11-12-2021,95.25,97.4,95.225,96.45,4
11-15-2021,95.875,96.1,94.6,95.375,0
11-16-2021,95.15,96.125,94.475,96.025,1
11-17-2021,91.975,95.575,91.925,95.275,2
11-18-2021,92.75,93.175,91.925,92.175,3
11-19-2021,92.1,93.425,92.1,93.0,4
11-22-2021,89.425,93.175,89.425,92.725,0
11-23-2021,90.4,90.75,89.1,89.175,1
11-24-2021,91.375,92.0,90.35,90.725,2
11-26-2021,90.65,92.25,90.6,91.35,4
11-29-2021,91.075,91.1,89.8,90.65,0
11-30-2021,90.7,91.4,90.05,91.0,1
12-01-2021,92.125,92.275,89.325,90.75,2
12-02-2021,92.925,93.525,91.85,92.825,3
12-03-2021,95.125,95.4,92.475,92.8,4
12-06-2021,95.5,96.775,95.125,95.825,0
12-07-2021,93.85,96.0,93.625,95.825,1
12-08-2021,90.85,94.4,90.125,94.25,2
12-09-2021,89.5,91.4,89.1,90.65,3
12-10-2021,90.75,90.9,89.625,89.75,4
12-13-2021,93.275,93.575,90.25,90.5,0
12-14-2021,94.15,95.5,93.725,94.025,1
12-15-2021,95.275,95.775,94.475,94.6,2
12-16-2021,95.375,96.125,94.95,95.55,3
12-17-2021,95.1,96.025,94.875,95.475,4
12-20-2021,95.75,95.85,94.55,94.925,0
12-21-2021,95.425,96.4,95.0,96.0,1
12-22-2021,95.5,95.725,94.975,95.625,2
12-23-2021,94.375,95.85,94.15,95.5,3
12-27-2021,94.6,95.0,93.925,94.375,0
12-28-2021,94.575,94.9,93.6,94.1,1
12-29-2021,94.575,94.6,93.725,94.225,2
12-30-2021,93.65,94.9,93.575,94.625,3
12-31-2021,94.3,94.5,93.35,94.2,4
01-03-2022,92.35,94.8,92.175,94.35,0
01-04-2022,93.1,93.2,92.25,92.4,1
01-05-2022,92.65,93.375,92.375,92.55,2
01-06-2022,93.0,93.1,92.325,92.65,3
01-07-2022,93.275,94.475,93.25,93.6,4
01-10-2022,93.25,93.8,92.05,93.6,0
01-11-2022,92.1,93.275,91.7,92.7,1
01-12-2022,93.75,93.875,91.7,92.125,2
01-13-2022,93.65,94.675,93.625,94.175,3
01-14-2022,93.75,94.25,93.225,93.95,4
01-18-2022,93.525,94.0,92.8,93.9,1
01-19-2022,92.875,94.2,92.75,93.85,2
01-20-2022,92.725,93.15,92.25,93.125,3
01-21-2022,91.9,92.825,91.775,92.75,4
01-24-2022,89.675,91.85,89.475,91.75,0
01-25-2022,87.35,89.7,86.75,89.6,1
01-26-2022,85.575,87.2,85.025,86.95,2
01-27-2022,85.475,85.6,84.725,85.4,3
01-28-2022,85.3,85.675,84.6,85.55,4
01-31-2022,84.525,85.2,84.25,84.9,0
02-01-2022,85.725,86.175,84.6,84.7,1
02-02-2022,85.75,86.1,85.0,85.4,2
02-03-2022,85.4,85.85,85.025,85.625,3
02-04-2022,83.3,84.925,83.0,84.525,4
02-07-2022,85.9,87.3,82.625,83.3,0
02-08-2022,85.3,86.0,84.975,85.675,1
02-09-2022,86.075,86.375,84.6,85.3,2
02-10-2022,86.0,87.175,84.675,84.775,3
02-11-2022,86.925,87.025,84.8,85.225,4
02-14-2022,89.725,90.35,86.3,86.6,0
02-15-2022,92.075,92.75,88.575,89.2,1
02-16-2022,94.3,94.4,92.25,92.475,2
02-17-2022,95.25,95.475,94.475,94.725,3
02-18-2022,96.175,96.25,95.425,95.55,4
02-22-2022,95.725,96.45,95.7,96.35,1
02-23-2022,95.875,96.075,95.125,95.95,2
02-24-2022,95.075,95.8,94.7,95.75,3
02-25-2022,93.85,95.5,93.85,95.375,4
02-28-2022,93.95,94.5,93.6,93.775,0
03-01-2022,92.075,94.025,91.95,93.95,1
03-02-2022,92.15,92.5,91.625,92.0,2
03-03-2022,91.125,92.25,90.4,92.075,3
03-04-2022,91.9,92.275,90.425,91.525,4
03-07-2022,91.525,92.95,91.525,91.9,0
03-08-2022,90.85,91.525,90.625,91.475,1
03-09-2022,91.45,91.575,90.55,91.15,2
03-10-2022,91.75,92.4,91.05,91.675,3
03-11-2022,92.25,92.25,91.075,91.875,4
03-14-2022,91.475,92.625,91.175,92.25,0
03-15-2022,90.225,91.75,89.8,91.525,1
03-16-2022,89.75,90.375,89.35,90.2,2
03-17-2022,89.65,90.275,89.125,89.75,3
03-18-2022,90.925,91.45,89.525,89.625,4
03-21-2022,91.9,93.775,91.275,91.375,0
03-22-2022,90.525,91.575,89.825,91.5,1
03-23-2022,92.55,92.55,90.2,90.55,2
03-24-2022,93.925,93.975,92.05,92.5,3
03-25-2022,93.45,94.125,92.65,93.975,4
03-28-2022,95.45,95.7,92.775,92.975,0
03-29-2022,94.9,95.75,94.575,95.5,1
03-30-2022,95.0,95.35,94.875,95.175,2
03-31-2022,94.7,95.275,94.55,95.225,3
04-01-2022,94.45,94.675,94.05,94.6,4
04-04-2022,94.2,94.4,93.725,94.325,0
04-05-2022,93.95,94.35,93.6,94.3,1
04-06-2022,93.725,94.075,93.625,93.825,2
04-07-2022,92.55,94.075,92.225,94.025,3
04-08-2022,93.7,93.9,92.775,93.225,4
