Date,Close,Weekday
08-06-2000,89.77,6
08-13-2000,94.98,6
08-20-2000,97.51,6
08-27-2000,89.67,6
09-03-2000,86.33,6
09-10-2000,74.71,6
09-17-2000,77.35,6
09-24-2000,77.77,6
10-01-2000,81.7,6
10-08-2000,78.0,6
10-15-2000,70.55,6
10-22-2000,68.43,6
10-29-2000,70.76,6
11-05-2000,70.64,6
11-12-2000,72.09,6
11-19-2000,72.88,6
11-26-2000,69.38,6
12-03-2000,65.67,6
12-10-2000,64.55,6
12-17-2000,64.49,6
12-24-2000,61.8,6
12-31-2000,61.94,6
01-07-2001,64.62,6
01-14-2001,69.86,6
01-21-2001,73.83,6
01-28-2001,75.23,6
02-04-2001,74.23,6
02-11-2001,80.74,6
02-18-2001,88.52,6
02-25-2001,90.29,6
03-04-2001,93.13,6
03-11-2001,97.43,6
03-18-2001,98.43,6
03-25-2001,96.66,6
04-01-2001,95.88,6
04-08-2001,95.13,6
04-15-2001,92.71,6
04-22-2001,97.65,6
04-29-2001,108.21,6
05-06-2001,107.75,6
05-13-2001,98.93,6
05-20-2001,94.63,6
05-27-2001,93.21,6
06-03-2001,84.16,6
06-10-2001,83.53,6
06-17-2001,78.28,6
06-24-2001,83.23,6
07-01-2001,83.75,6
07-08-2001,87.92,6
07-15-2001,87.6,6
07-22-2001,77.55,6
07-29-2001,74.42,6
08-05-2001,70.56,6
08-12-2001,72.97,6
08-19-2001,72.05,6
08-26-2001,67.32,6
09-02-2001,71.32,6
09-09-2001,71.77,6
09-16-2001,65.06,6
09-23-2001,61.11,6
09-30-2001,61.84,6
10-07-2001,58.13,6
10-14-2001,54.86,6
10-21-2001,56.09,6
10-28-2001,57.98,6
11-04-2001,59.63,6
11-11-2001,58.39,6
11-18-2001,55.33,6
11-25-2001,53.54,6
12-02-2001,52.88,6
12-09-2001,53.43,6
12-16-2001,52.3,6
12-23-2001,54.41,6
12-30-2001,54.08,6
01-06-2002,56.91,6
01-13-2002,59.08,6
01-20-2002,58.52,6
01-27-2002,62.03,6
02-03-2002,66.05,6
02-10-2002,64.69,6
02-17-2002,59.85,6
02-24-2002,59.17,6
03-03-2002,60.12,6
03-10-2002,61.45,6
03-17-2002,57.64,6
03-24-2002,59.59,6
03-31-2002,63.53,6
04-07-2002,68.48,6
04-14-2002,71.08,6
04-21-2002,65.06,6
04-28-2002,65.74,6
05-05-2002,61.13,6
05-12-2002,60.99,6
05-19-2002,65.17,6
05-26-2002,65.25,6
06-02-2002,62.06,6
06-09-2002,59.97,6
06-16-2002,62.79,6
06-23-2002,63.31,6
06-30-2002,55.51,6
07-07-2002,51.07,6
07-14-2002,51.21,6
07-21-2002,47.31,6
07-28-2002,47.94,6
08-04-2002,49.81,6
08-11-2002,46.55,6
08-18-2002,50.38,6
08-25-2002,46.24,6
09-01-2002,46.09,6
09-08-2002,46.35,6
09-15-2002,47.67,6
09-22-2002,48.58,6
09-29-2002,47.98,6
10-06-2002,46.9,6
10-13-2002,47.09,6
10-20-2002,48.04,6
10-27-2002,50.0,6
11-03-2002,48.58,6
11-10-2002,49.83,6
11-17-2002,50.77,6
11-24-2002,48.5,6
12-01-2002,49.46,6
12-08-2002,48.9,6
12-15-2002,49.25,6
12-22-2002,52.61,6
12-29-2002,51.7,6
01-05-2003,49.62,6
01-12-2003,49.72,6
01-19-2003,52.23,6
01-26-2003,52.68,6
02-02-2003,58.69,6
02-09-2003,59.81,6
02-16-2003,59.01,6
02-23-2003,61.92,6
03-02-2003,69.94,6
03-09-2003,69.23,6
03-16-2003,64.28,6
03-23-2003,65.46,6
03-30-2003,59.17,6
04-06-2003,54.66,6
04-13-2003,55.85,6
04-20-2003,56.46,6
04-27-2003,56.11,6
05-04-2003,59.34,6
05-11-2003,60.04,6
05-18-2003,58.95,6
05-25-2003,61.29,6
06-01-2003,66.17,6
06-08-2003,67.74,6
06-15-2003,72.8,6
06-22-2003,68.42,6
06-29-2003,64.49,6
07-06-2003,65.56,6
07-13-2003,70.25,6
07-20-2003,75.53,6
07-27-2003,76.38,6
08-03-2003,77.63,6
08-10-2003,78.2,6
08-17-2003,75.05,6
08-24-2003,68.76,6
08-31-2003,63.72,6
09-07-2003,63.25,6
09-14-2003,61.56,6
09-21-2003,58.63,6
09-28-2003,54.48,6
10-05-2003,52.99,6
10-12-2003,53.87,6
10-19-2003,54.66,6
10-26-2003,50.7,6
11-02-2003,46.83,6
11-09-2003,47.73,6
11-16-2003,48.62,6
11-23-2003,50.8,6
11-30-2003,53.07,6
12-07-2003,55.1,6
12-14-2003,51.82,6
12-21-2003,55.05,6
12-28-2003,54.45,6
01-04-2004,54.13,6
01-11-2004,56.16,6
01-18-2004,60.18,6
01-25-2004,64.64,6
02-01-2004,61.06,6
02-08-2004,60.12,6
02-15-2004,64.09,6
02-22-2004,69.9,6
02-29-2004,61.85,6
03-07-2004,58.52,6
03-14-2004,61.33,6
03-21-2004,65.48,6
03-28-2004,61.94,6
04-04-2004,62.85,6
04-11-2004,69.53,6
04-18-2004,71.45,6
04-25-2004,67.33,6
05-02-2004,68.21,6
05-09-2004,65.13,6
05-16-2004,67.78,6
05-23-2004,71.55,6
05-30-2004,72.45,6
06-06-2004,65.65,6
06-13-2004,60.0,6
06-20-2004,56.82,6
06-27-2004,56.73,6
07-04-2004,57.41,6
07-11-2004,60.83,6
07-18-2004,62.88,6
07-25-2004,63.9,6
08-01-2004,66.66,6
08-08-2004,58.2,6
08-15-2004,58.87,6
08-22-2004,59.5,6
08-29-2004,55.76,6
09-05-2004,53.84,6
09-12-2004,55.9,6
09-19-2004,57.37,6
09-26-2004,59.07,6
10-03-2004,57.77,6
10-10-2004,58.95,6
10-17-2004,58.49,6
10-24-2004,57.93,6
10-31-2004,59.15,6
11-07-2004,60.28,6
11-14-2004,62.1,6
11-21-2004,62.6,6
11-28-2004,57.43,6
12-05-2004,52.99,6
12-12-2004,53.62,6
12-19-2004,57.33,6
12-26-2004,57.44,6
01-02-2005,56.07,6
01-09-2005,55.14,6
01-16-2005,55.4,6
01-23-2005,58.55,6
01-30-2005,58.25,6
02-06-2005,61.7,6
02-13-2005,65.0,6
02-20-2005,61.34,6
02-27-2005,66.17,6
03-06-2005,73.71,6
03-13-2005,76.09,6
03-20-2005,75.4,6
03-27-2005,71.16,6
04-03-2005,66.79,6
04-10-2005,67.32,6
04-17-2005,68.21,6
04-24-2005,71.5,6
05-01-2005,71.75,6
05-08-2005,65.12,6
05-15-2005,67.94,6
05-22-2005,67.57,6
05-29-2005,65.16,6
06-05-2005,62.2,6
06-12-2005,56.52,6
06-19-2005,54.69,6
06-26-2005,56.86,6
07-03-2005,56.96,6
07-10-2005,55.46,6
07-17-2005,57.28,6
07-24-2005,58.52,6
07-31-2005,56.23,6
08-07-2005,54.73,6
08-14-2005,53.76,6
08-21-2005,53.36,6
08-28-2005,48.65,6
09-04-2005,49.02,6
09-11-2005,53.89,6
09-18-2005,51.25,6
09-25-2005,49.05,6
10-02-2005,53.17,6
10-09-2005,55.32,6
10-16-2005,54.52,6
10-23-2005,56.61,6
10-30-2005,57.21,6
11-06-2005,55.3,6
11-13-2005,53.85,6
11-20-2005,55.56,6
11-27-2005,54.89,6
12-04-2005,56.8,6
12-11-2005,55.63,6
12-18-2005,59.53,6
12-25-2005,60.55,6
01-01-2006,62.11,6
01-08-2006,65.12,6
01-15-2006,63.22,6
01-22-2006,65.71,6
01-29-2006,69.36,6
02-05-2006,68.96,6
02-12-2006,67.87,6
02-19-2006,69.91,6
02-26-2006,66.02,6
03-05-2006,72.17,6
03-12-2006,72.47,6
03-19-2006,70.18,6
03-26-2006,65.79,6
04-02-2006,62.17,6
04-09-2006,64.85,6
04-16-2006,65.13,6
04-23-2006,62.82,6
04-30-2006,62.7,6
05-07-2006,63.76,6
05-14-2006,61.98,6
05-21-2006,58.36,6
05-28-2006,59.55,6
06-04-2006,63.2,6
06-11-2006,64.08,6
06-18-2006,64.96,6
06-25-2006,66.01,6
07-02-2006,70.35,6
07-09-2006,72.5,6
07-16-2006,72.42,6
07-23-2006,75.25,6
07-30-2006,73.53,6
08-06-2006,73.09,6
08-13-2006,69.28,6
08-20-2006,66.44,6
08-27-2006,62.94,6
09-03-2006,62.46,6
09-10-2006,63.57,6
09-17-2006,59.63,6
09-24-2006,60.65,6
10-01-2006,61.5,6
10-08-2006,61.36,6
10-15-2006,59.67,6
10-22-2006,58.64,6
10-29-2006,55.39,6
11-05-2006,53.36,6
11-12-2006,52.78,6
11-19-2006,55.28,6
11-26-2006,56.47,6
12-03-2006,56.36,6
