Date,Close,Weekday
01-11-1999,4.87257,0
01-12-1999,4.85929,1
01-13-1999,4.845,2
01-14-1999,4.84314,3
01-15-1999,4.83414,4
01-18-1999,4.80614,0
01-19-1999,4.79629,1
01-20-1999,4.81357,2
01-21-1999,4.81357,3
01-22-1999,4.82529,4
01-25-1999,4.80243,0
01-26-1999,4.81457,1
01-27-1999,4.82186,2
01-28-1999,4.81771,3
01-29-1999,4.81557,4
02-01-1999,4.81529,0
02-02-1999,4.80771,1
02-03-1999,4.79757,2
02-04-1999,4.79471,3
02-05-1999,4.79243,4
02-08-1999,4.82971,0
02-09-1999,4.815,1
02-10-1999,4.80586,2
02-11-1999,4.78257,3
02-12-1999,4.80986,4
02-15-1999,4.81171,0
02-16-1999,4.78843,1
02-17-1999,4.78186,2
02-18-1999,4.76729,3
02-19-1999,4.75386,4
02-22-1999,4.72986,0
02-23-1999,4.72643,1
02-24-1999,4.72386,2
02-25-1999,4.729,3
02-26-1999,4.75257,4
03-01-1999,4.73829,0
03-02-1999,4.74586,1
03-03-1999,4.73771,2
03-04-1999,4.73629,3
03-05-1999,4.769,4
03-08-1999,4.75271,0
03-09-1999,4.73314,1
03-10-1999,4.73514,2
03-11-1999,4.72343,3
03-12-1999,4.73457,4
03-15-1999,4.72343,0
03-16-1999,4.73257,1
03-17-1999,4.765,2
03-18-1999,4.77857,3
03-19-1999,4.76057,4
03-22-1999,4.73486,0
03-23-1999,4.73386,1
03-24-1999,4.73629,2
03-25-1999,4.75729,3
03-26-1999,4.69871,4
03-29-1999,4.69186,0
03-30-1999,4.66486,1
03-31-1999,4.67543,2
04-01-1999,4.67429,3
04-06-1999,4.64971,1
04-07-1999,4.64386,2
04-08-1999,4.60614,3
04-09-1999,4.64971,4
04-12-1999,4.63,0
04-13-1999,4.592,1
04-14-1999,4.55729,2
04-15-1999,4.55029,3
04-16-1999,4.53157,4
04-19-1999,4.50843,0
04-20-1999,4.45971,1
04-21-1999,4.46029,2
04-22-1999,4.43957,3
04-23-1999,4.41471,4
04-26-1999,4.37386,0
04-27-1999,4.358,1
04-28-1999,4.32686,2
04-29-1999,4.35843,3
04-30-1999,4.32457,4
05-04-1999,4.27757,1
05-05-1999,4.24257,2
05-06-1999,4.22657,3
05-07-1999,4.19371,4
05-10-1999,4.07914,0
05-11-1999,4.01086,1
05-12-1999,3.94071,2
05-13-1999,3.91914,3
05-14-1999,3.90871,4
05-17-1999,3.82571,0
05-18-1999,3.784,1
05-19-1999,3.74071,2
05-20-1999,3.74829,3
05-21-1999,3.75471,4
05-24-1999,3.74286,0
05-25-1999,3.67414,1
05-26-1999,3.64186,2
05-27-1999,3.64086,3
05-28-1999,3.62843,4
06-01-1999,3.64143,1
06-02-1999,3.60386,2
06-03-1999,3.60171,3
06-04-1999,3.56529,4
06-07-1999,3.52714,0
06-08-1999,3.48343,1
06-09-1999,3.29257,2
06-10-1999,3.27014,3
06-11-1999,3.24543,4
06-14-1999,3.23571,0
06-15-1999,3.194,1
06-16-1999,3.16786,2
06-17-1999,3.14486,3
06-18-1999,3.15814,4
06-21-1999,3.14414,0
06-22-1999,3.09971,1
06-23-1999,3.08214,2
06-24-1999,3.06957,3
06-25-1999,3.04314,4
06-28-1999,3.01,0
06-29-1999,2.99686,1
06-30-1999,2.97971,2
07-01-1999,2.95771,3
07-02-1999,2.984,4
07-05-1999,2.97657,0
07-06-1999,2.96057,1
07-07-1999,2.94186,2
07-08-1999,2.92157,3
07-09-1999,2.90514,4
07-12-1999,2.92271,0
07-13-1999,2.921,1
07-14-1999,2.91157,2
07-15-1999,2.86671,3
07-16-1999,2.86329,4
07-19-1999,2.83229,0
07-20-1999,2.807,1
07-21-1999,2.80214,2
07-22-1999,2.78829,3
07-23-1999,2.78229,4
07-26-1999,2.80586,0
07-27-1999,2.79286,1
07-28-1999,2.76929,2
07-29-1999,2.76629,3
07-30-1999,2.783,4
08-02-1999,2.759,0
08-03-1999,2.73171,1
08-04-1999,2.70986,2
08-05-1999,2.73757,3
08-06-1999,2.74029,4
08-09-1999,2.512,0
08-10-1999,2.483,1
08-11-1999,2.45514,2
08-12-1999,2.423,3
08-13-1999,2.42757,4
08-16-1999,2.39057,0
08-17-1999,2.34829,1
08-18-1999,2.32171,2
08-19-1999,2.29286,3
08-20-1999,2.28514,4
08-23-1999,2.27714,0
08-24-1999,2.25043,1
08-25-1999,2.23157,2
08-26-1999,2.23443,3
