Date,Open,High,Low,Close,Adj Close,Volume,Weekday
12-01-2003,2.946,2.946,2.923,2.923,2.923,0.0,0
12-02-2003,2.923,2.931,2.923,2.931,2.931,0.0,1
12-03-2003,2.931,2.936,2.926,2.931,2.931,0.0,2
12-04-2003,2.931,2.943,2.931,2.943,2.943,0.0,3
12-05-2003,2.943,2.948,2.934,2.934,2.934,0.0,4
12-08-2003,2.934,2.943,2.934,2.94,2.94,0.0,0
12-09-2003,2.94,2.94,2.931,2.933,2.933,0.0,1
12-10-2003,2.933,2.944,2.933,2.942,2.942,0.0,2
12-11-2003,2.942,2.945,2.936,2.936,2.936,0.0,3
12-12-2003,2.936,2.943,2.935,2.935,2.935,0.0,4
12-15-2003,2.935,2.936,2.918,2.919,2.919,0.0,0
12-16-2003,2.919,2.936,2.919,2.936,2.936,0.0,1
12-17-2003,2.936,2.943,2.93,2.93,2.93,0.0,2
12-18-2003,2.93,2.936,2.928,2.932,2.932,0.0,3
12-19-2003,2.932,2.932,2.922,2.923,2.923,0.0,4
12-22-2003,2.923,2.928,2.915,2.919,2.919,0.0,0
12-23-2003,2.919,2.923,2.805,2.907,2.907,0.0,1
12-24-2003,2.907,2.908,2.906,2.907,2.907,0.0,2
12-25-2003,2.907,2.907,2.907,2.907,2.907,0.0,3
12-26-2003,2.907,2.907,2.895,2.901,2.901,0.0,4
12-29-2003,2.901,2.901,2.86,2.86,2.86,0.0,0
12-30-2003,2.86,2.908,2.86,2.901,2.901,0.0,1
12-31-2003,2.901,2.901,2.901,2.901,2.901,0.0,2
01-01-2004,2.901,2.901,2.901,2.901,2.901,0.0,3
01-02-2004,2.901,2.901,2.876,2.876,2.876,0.0,4
01-05-2004,2.876,2.876,2.853,2.853,2.853,0.0,0
01-06-2004,2.853,2.866,2.84,2.866,2.866,0.0,1
01-07-2004,2.866,2.88,2.858,2.858,2.858,0.0,2
01-08-2004,2.858,2.867,2.844,2.854,2.854,0.0,3
01-09-2004,2.854,2.854,2.83,2.83,2.83,0.0,4
01-12-2004,2.83,2.833,2.788,2.79,2.79,0.0,0
01-13-2004,2.79,2.812,2.774,2.805,2.805,0.0,1
01-14-2004,2.805,2.907,2.805,2.818,2.818,0.0,2
01-15-2004,2.818,2.818,2.804,2.813,2.813,0.0,3
01-16-2004,2.813,2.827,2.813,2.827,2.827,0.0,4
01-19-2004,2.827,2.847,2.827,2.838,2.838,0.0,0
01-20-2004,2.838,2.842,2.833,2.838,2.838,0.0,1
01-21-2004,2.838,2.845,2.835,2.843,2.843,0.0,2
