Date,Open,High,Low,Close,Adj Close,Volume,Weekday
10-30-1996,114.370003,114.480003,113.610001,114.18,114.18,0.0,2
10-31-1996,,,,,,,3
11-01-1996,113.5,113.5,113.5,113.5,113.5,0.0,4
11-04-1996,113.279999,113.980003,112.949997,113.879997,113.879997,0.0,0
11-05-1996,113.709999,114.330002,113.449997,114.25,114.25,0.0,1
11-06-1996,114.230003,114.68,113.650002,113.949997,113.949997,0.0,2
11-07-1996,,,,,,,3
11-08-1996,111.989998,112.309998,111.349998,111.739998,111.739998,0.0,4
11-11-1996,111.510002,111.959999,110.860001,111.120003,111.120003,0.0,0
11-12-1996,111.019997,111.550003,110.879997,111.330002,111.330002,0.0,1
11-13-1996,111.349998,111.349998,111.349998,111.349998,111.349998,0.0,2
11-14-1996,,,,,,,3
11-15-1996,111.43,111.519997,110.550003,111.050003,111.050003,0.0,4
11-18-1996,110.879997,111.669998,110.800003,111.400002,111.400002,0.0,0
11-19-1996,111.300003,111.800003,111.199997,111.580002,111.580002,0.0,1
11-20-1996,111.589996,111.699997,111.25,111.519997,111.519997,0.0,2
11-21-1996,111.43,111.870003,111.199997,111.25,111.25,0.0,3
11-22-1996,111.239998,111.699997,111.029999,111.419998,111.419998,0.0,4
11-25-1996,,,,,,,0
11-26-1996,112.620003,112.779999,112.290001,112.400002,112.400002,0.0,1
11-27-1996,,,,,,,2
11-28-1996,113.120003,113.93,113.050003,113.669998,113.669998,0.0,3
11-29-1996,113.75,113.940002,113.349998,113.800003,113.800003,0.0,4
12-02-1996,113.739998,114.790001,113.5,114.519997,114.519997,0.0,0
12-03-1996,114.459999,114.599998,112.830002,113.300003,113.300003,0.0,1
12-04-1996,113.349998,113.449997,112.900002,113.050003,113.050003,0.0,2
12-05-1996,112.849998,113.300003,112.050003,112.25,112.25,0.0,3
12-06-1996,112.300003,113.0,111.730003,112.949997,112.949997,0.0,4
12-09-1996,113.120003,113.480003,112.800003,113.400002,113.400002,0.0,0
12-10-1996,113.459999,113.720001,112.959999,113.349998,113.349998,0.0,1
12-11-1996,113.099998,113.330002,112.580002,112.879997,112.879997,0.0,2
12-12-1996,112.849998,113.57,112.43,113.129997,113.129997,0.0,3
12-13-1996,113.040001,114.0,112.639999,113.849998,113.849998,0.0,4
12-16-1996,113.980003,114.290001,113.599998,113.82,113.82,0.0,0
12-17-1996,113.699997,114.150002,113.419998,113.82,113.82,0.0,1
12-18-1996,113.75,113.809998,113.25,113.629997,113.629997,0.0,2
12-19-1996,113.400002,114.190002,113.300003,114.010002,114.010002,0.0,3
12-20-1996,114.0,114.410004,113.989998,114.25,114.25,0.0,4
12-23-1996,114.150002,114.349998,113.839996,114.050003,114.050003,0.0,0
12-24-1996,114.150002,114.5,114.099998,114.400002,114.400002,0.0,1
12-25-1996,114.449997,114.690002,114.400002,114.629997,114.629997,0.0,2
12-26-1996,114.599998,115.080002,114.400002,114.879997,114.879997,0.0,3
12-27-1996,114.75,116.120003,114.699997,115.25,115.25,0.0,4
12-30-1996,115.690002,116.199997,115.5,116.199997,116.199997,0.0,0
12-31-1996,116.080002,116.43,115.589996,115.900002,115.900002,0.0,1
01-01-1997,115.949997,115.949997,115.75,115.849998,115.849998,0.0,2
01-02-1997,116.019997,116.199997,115.279999,115.650002,115.650002,0.0,3
01-03-1997,115.669998,116.699997,115.300003,116.410004,116.410004,0.0,4
01-06-1997,116.699997,116.980003,115.349998,115.709999,115.709999,0.0,0
01-07-1997,115.690002,116.019997,114.800003,115.220001,115.220001,0.0,1
01-08-1997,115.339996,116.0,114.900002,115.849998,115.849998,0.0,2
01-09-1997,115.769997,116.449997,115.699997,116.309998,116.309998,0.0,3
01-10-1997,116.300003,116.669998,115.199997,116.110001,116.110001,0.0,4
01-13-1997,116.129997,116.540001,115.879997,116.480003,116.480003,0.0,0
01-14-1997,116.529999,117.010002,116.199997,116.940002,116.940002,0.0,1
01-15-1997,117.07,117.480003,116.699997,116.769997,116.769997,0.0,2
01-16-1997,116.769997,117.32,116.220001,116.540001,116.540001,0.0,3
01-17-1997,116.639999,117.370003,116.480003,117.32,117.32,0.0,4
01-20-1997,117.379997,118.239998,117.25,117.910004,117.910004,0.0,0
01-21-1997,118.050003,118.269997,117.449997,117.879997,117.879997,0.0,1
01-22-1997,117.93,117.93,117.93,117.93,117.93,0.0,2
01-23-1997,119.010002,119.800003,118.690002,119.199997,119.199997,0.0,3
01-24-1997,118.769997,120.150002,118.349998,118.849998,118.849998,0.0,4
01-27-1997,119.0,119.650002,118.900002,119.529999,119.529999,0.0,0
01-28-1997,119.599998,121.75,119.550003,121.0,121.0,0.0,1
01-29-1997,,,,,,,2
01-30-1997,122.349998,122.5,120.849998,121.75,121.75,0.0,3
01-31-1997,122.110001,122.309998,120.949997,121.25,121.25,0.0,4
02-03-1997,121.300003,122.25,121.25,121.650002,121.650002,0.0,0
02-04-1997,121.800003,122.5,121.650002,122.459999,122.459999,0.0,1
02-05-1997,122.599998,123.839996,122.5,123.489998,123.489998,0.0,2
02-06-1997,123.580002,124.0,122.699997,123.800003,123.800003,0.0,3
02-07-1997,124.230003,124.720001,121.349998,123.150002,123.150002,0.0,4
02-10-1997,122.300003,123.639999,122.279999,122.760002,122.760002,0.0,0
02-11-1997,122.910004,123.400002,122.550003,123.279999,123.279999,0.0,1
02-12-1997,,,,,,,2
02-13-1997,124.279999,124.650002,123.790001,124.230003,124.230003,0.0,3
02-14-1997,124.400002,124.82,123.699997,124.25,124.25,0.0,4
02-17-1997,124.550003,124.669998,123.900002,124.550003,124.550003,0.0,0
02-18-1997,124.400002,124.629997,123.68,124.0,124.0,0.0,1
02-19-1997,124.150002,124.57,123.980003,124.510002,124.510002,0.0,2
02-20-1997,,,,,,,3
02-21-1997,122.800003,123.5,122.410004,123.199997,123.199997,0.0,4
02-24-1997,,,,,,,0
02-25-1997,122.0,122.370003,121.400002,121.400002,121.400002,0.0,1
02-26-1997,121.599998,122.620003,120.529999,122.150002,122.150002,0.0,2
02-27-1997,,,,,,,3
02-28-1997,120.68,121.07,119.900002,120.300003,120.300003,0.0,4
03-03-1997,120.68,121.330002,120.419998,121.309998,121.309998,0.0,0
03-04-1997,121.279999,122.25,121.0,122.080002,122.080002,0.0,1
03-05-1997,122.059998,122.279999,121.099998,121.199997,121.199997,0.0,2
03-06-1997,121.120003,121.809998,120.849998,121.029999,121.029999,0.0,3
03-07-1997,121.120003,122.099998,120.93,122.0,122.0,0.0,4
03-10-1997,121.760002,121.839996,121.5,121.620003,121.620003,0.0,0
03-11-1997,121.660004,122.029999,121.099998,121.849998,121.849998,0.0,1
03-12-1997,121.93,122.860001,121.800003,122.269997,122.269997,0.0,2
03-13-1997,122.220001,123.440002,121.900002,123.43,123.43,0.0,3
03-14-1997,123.300003,124.129997,122.949997,123.419998,123.419998,0.0,4
03-17-1997,123.449997,123.769997,123.120003,123.75,123.75,0.0,0
03-18-1997,,,,,,,1
03-19-1997,122.650002,123.300003,122.400002,122.75,122.75,0.0,2
03-20-1997,123.029999,123.769997,122.099998,123.720001,123.720001,0.0,3
03-21-1997,123.620003,123.629997,122.279999,122.669998,122.669998,0.0,4
03-24-1997,122.550003,123.169998,122.150002,122.949997,122.949997,0.0,0
03-25-1997,122.959999,124.129997,122.75,123.730003,123.730003,0.0,1
03-26-1997,,,,,,,2
03-27-1997,124.199997,124.349998,123.300003,123.510002,123.510002,0.0,3
03-28-1997,123.629997,123.629997,123.629997,123.629997,123.629997,0.0,4
03-31-1997,123.970001,124.169998,123.43,123.779999,123.779999,0.0,0
04-01-1997,123.940002,123.970001,121.349998,121.900002,121.900002,0.0,1
04-02-1997,122.080002,123.459999,121.949997,123.120003,123.120003,0.0,2
04-03-1997,123.059998,123.120003,122.449997,122.589996,122.589996,0.0,3
04-04-1997,122.699997,124.339996,122.400002,124.25,124.25,0.0,4
04-07-1997,124.370003,125.809998,123.949997,125.699997,125.699997,0.0,0
04-08-1997,125.550003,126.519997,125.199997,126.300003,126.300003,0.0,1
04-09-1997,126.199997,126.959999,126.0,126.830002,126.830002,0.0,2
04-10-1997,126.849998,127.099998,125.449997,125.809998,125.809998,0.0,3
04-11-1997,125.699997,126.230003,125.699997,126.099998,126.099998,0.0,4
04-14-1997,126.419998,126.610001,126.010002,126.57,126.57,0.0,0
04-15-1997,126.550003,126.550003,125.900002,126.0,126.0,0.0,1
04-16-1997,125.589996,125.589996,125.589996,125.589996,125.589996,0.0,2
04-17-1997,125.739998,126.779999,125.470001,126.0,126.0,0.0,3
04-18-1997,125.93,126.18,125.599998,125.800003,125.800003,0.0,4
04-21-1997,125.279999,125.720001,125.040001,125.360001,125.360001,0.0,0
04-22-1997,125.309998,126.309998,125.300003,126.150002,126.150002,0.0,1
04-23-1997,126.050003,126.199997,125.949997,126.040001,126.040001,0.0,2
04-24-1997,126.019997,126.379997,125.709999,126.07,126.07,0.0,3
04-25-1997,126.209999,126.360001,125.449997,126.25,126.25,0.0,4
04-28-1997,126.910004,127.080002,126.379997,126.82,126.82,0.0,0
04-29-1997,126.800003,126.949997,126.43,126.839996,126.839996,0.0,1
04-30-1997,126.849998,127.129997,126.559998,127.059998,127.059998,0.0,2
05-01-1997,127.099998,127.459999,126.019997,126.449997,126.449997,0.0,3
05-02-1997,126.489998,126.849998,126.410004,126.650002,126.650002,0.0,4
05-05-1997,126.639999,126.800003,126.32,126.620003,126.620003,0.0,0
05-06-1997,126.720001,126.739998,125.099998,125.269997,125.269997,0.0,1
05-07-1997,125.260002,125.75,124.529999,125.129997,125.129997,0.0,2
05-08-1997,125.160004,125.18,123.389999,123.720001,123.720001,0.0,3
05-09-1997,123.449997,123.470001,118.959999,120.0,120.0,0.0,4
05-12-1997,118.199997,119.300003,119.300003,119.300003,119.300003,0.0,0
05-13-1997,118.970001,119.650002,118.400002,118.400002,118.400002,0.0,1
05-14-1997,118.18,119.239998,116.550003,116.599998,116.599998,0.0,2
05-15-1997,117.190002,117.300003,114.660004,115.879997,115.879997,0.0,3
05-16-1997,116.0,117.0,114.800003,115.75,115.75,0.0,4
05-19-1997,115.699997,116.489998,115.0,115.669998,115.669998,0.0,0
05-20-1997,115.300003,115.550003,111.879997,112.599998,112.599998,0.0,1
05-21-1997,112.779999,114.419998,113.0,114.050003,114.050003,0.0,2
05-22-1997,114.25,116.330002,114.449997,116.150002,116.150002,0.0,3
05-23-1997,116.019997,115.800003,115.279999,115.510002,115.510002,0.0,4
05-26-1997,,,,,,,0
05-27-1997,116.300003,116.779999,116.190002,116.650002,116.650002,0.0,1
05-28-1997,116.639999,116.059998,115.089996,115.599998,115.599998,0.0,2
05-29-1997,115.599998,116.599998,115.25,116.300003,116.300003,0.0,3
05-30-1997,116.330002,116.809998,115.779999,116.160004,116.160004,0.0,4
06-02-1997,115.900002,116.809998,115.879997,116.650002,116.650002,0.0,0
06-03-1997,116.769997,116.830002,115.580002,116.010002,116.010002,0.0,1
06-04-1997,116.029999,116.599998,115.940002,116.230003,116.230003,0.0,2
06-05-1997,116.230003,115.800003,115.379997,115.5,115.5,0.0,3
06-06-1997,115.540001,116.010002,114.209999,114.209999,114.209999,0.0,4
06-09-1997,114.0,113.75,111.800003,113.019997,113.019997,0.0,0
06-10-1997,112.349998,112.790001,111.599998,112.0,112.0,0.0,1
06-11-1997,111.949997,112.389999,110.510002,111.18,111.18,0.0,2
06-12-1997,111.25,115.730003,111.449997,114.150002,114.150002,0.0,3
06-13-1997,114.449997,114.959999,113.93,114.830002,114.830002,0.0,4
06-16-1997,114.150002,114.209999,113.099998,113.18,113.18,0.0,0
06-17-1997,113.199997,113.790001,112.800003,113.169998,113.169998,0.0,1
06-18-1997,113.230003,113.660004,112.800003,113.529999,113.529999,0.0,2
06-19-1997,113.5,114.300003,113.050003,114.089996,114.089996,0.0,3
06-20-1997,114.400002,115.0,114.220001,114.959999,114.959999,0.0,4
06-23-1997,115.089996,115.620003,114.599998,114.629997,114.629997,0.0,0
06-24-1997,114.529999,114.949997,114.0,114.769997,114.769997,0.0,1
06-25-1997,114.779999,114.199997,113.199997,113.839996,113.839996,0.0,2
06-26-1997,114.199997,114.199997,113.0,113.129997,113.129997,0.0,3
06-27-1997,113.089996,114.709999,113.099998,114.550003,114.550003,0.0,4
06-30-1997,114.559998,114.650002,114.099998,114.610001,114.610001,0.0,0
07-01-1997,114.709999,115.290001,114.449997,114.830002,114.830002,0.0,1
07-02-1997,114.860001,114.779999,114.050003,114.449997,114.449997,0.0,2
07-03-1997,114.370003,114.43,113.279999,113.459999,113.459999,0.0,3
07-04-1997,113.639999,114.449997,112.93,114.199997,114.199997,0.0,4
07-07-1997,113.790001,112.82,112.110001,112.489998,112.489998,0.0,0
07-08-1997,112.300003,113.410004,112.279999,112.870003,112.870003,0.0,1
07-09-1997,113.059998,113.18,112.300003,112.610001,112.610001,0.0,2
07-10-1997,112.620003,113.300003,112.330002,113.040001,113.040001,0.0,3
07-11-1997,113.099998,114.190002,113.230003,114.099998,114.099998,0.0,4
07-14-1997,113.830002,114.18,113.25,113.660004,113.660004,0.0,0
07-15-1997,,,,,,,1
07-16-1997,115.309998,116.400002,115.25,115.360001,115.360001,0.0,2
07-17-1997,115.400002,116.480003,115.68,115.800003,115.800003,0.0,3
07-18-1997,115.910004,116.199997,115.0,115.449997,115.449997,0.0,4
07-21-1997,115.400002,116.220001,115.330002,116.120003,116.120003,0.0,0
07-22-1997,116.290001,116.5,114.760002,115.209999,115.209999,0.0,1
07-23-1997,115.400002,115.959999,115.019997,115.699997,115.699997,0.0,2
07-24-1997,115.769997,116.169998,115.540001,116.099998,116.099998,0.0,3
07-25-1997,116.029999,117.080002,115.93,116.889999,116.889999,0.0,4
07-28-1997,116.870003,117.790001,116.900002,117.589996,117.589996,0.0,0
07-29-1997,117.43,118.459999,117.239998,118.260002,118.260002,0.0,1
07-30-1997,118.25,118.959999,118.07,118.199997,118.199997,0.0,2
07-31-1997,118.129997,118.75,117.400002,118.550003,118.550003,0.0,3
08-01-1997,118.449997,119.169998,117.75,118.400002,118.400002,0.0,4
08-04-1997,118.599998,118.800003,118.0,118.0,118.0,0.0,0
08-05-1997,118.019997,119.389999,118.0,119.300003,119.300003,0.0,1
08-06-1997,119.309998,119.580002,118.300003,118.620003,118.620003,0.0,2
08-07-1997,118.580002,118.800003,117.779999,118.480003,118.480003,0.0,3
08-08-1997,118.349998,118.629997,114.25,114.550003,114.550003,0.0,4
08-11-1997,114.980003,116.349998,114.800003,116.139999,116.139999,0.0,0
08-12-1997,116.220001,116.620003,115.5,116.379997,116.379997,0.0,1
08-13-1997,116.440002,116.68,115.300003,115.599998,115.599998,0.0,2
08-14-1997,115.639999,118.279999,115.550003,117.949997,117.949997,0.0,3
08-15-1997,117.769997,118.699997,116.779999,117.300003,117.300003,0.0,4
08-18-1997,117.150002,118.199997,116.849998,118.120003,118.120003,0.0,0
08-19-1997,118.18,118.400002,117.720001,118.199997,118.199997,0.0,1
08-20-1997,118.309998,118.540001,117.68,117.910004,117.910004,0.0,2
08-21-1997,117.809998,118.050003,117.550003,117.870003,117.870003,0.0,3
08-22-1997,117.349998,117.360001,117.169998,117.209999,117.209999,0.0,4
08-25-1997,118.029999,118.18,118.029999,118.129997,118.129997,0.0,0
08-26-1997,118.610001,118.720001,117.599998,118.120003,118.120003,0.0,1
08-27-1997,118.129997,119.209999,118.07,118.839996,118.839996,0.0,2
08-28-1997,118.790001,119.129997,118.099998,119.029999,119.029999,0.0,3
08-29-1997,119.089996,119.470001,118.82,119.440002,119.440002,0.0,4
09-01-1997,120.480003,121.199997,120.199997,121.18,121.18,0.0,0
09-02-1997,121.18,121.779999,121.099998,121.75,121.75,0.0,1
09-03-1997,121.32,121.550003,120.5,120.599998,120.599998,0.0,2
09-04-1997,120.580002,121.400002,120.150002,121.099998,121.099998,0.0,3
09-05-1997,121.099998,121.599998,120.599998,121.139999,121.139999,0.0,4
09-08-1997,121.199997,121.279999,120.690002,121.050003,121.050003,0.0,0
09-09-1997,120.900002,121.0,118.150002,118.730003,118.730003,0.0,1
09-10-1997,118.849998,119.599998,118.610001,119.099998,119.099998,0.0,2
09-11-1997,119.129997,119.839996,118.510002,119.599998,119.599998,0.0,3
09-12-1997,119.610001,121.650002,119.489998,121.059998,121.059998,0.0,4
09-15-1997,120.940002,121.0,119.849998,120.0,120.0,0.0,0
09-16-1997,120.050003,121.330002,119.940002,121.239998,121.239998,0.0,1
09-17-1997,121.18,121.309998,119.900002,120.550003,120.550003,0.0,2
09-18-1997,120.550003,122.309998,120.489998,121.800003,121.800003,0.0,3
09-19-1997,121.800003,122.529999,121.129997,121.910004,121.910004,0.0,4
09-22-1997,121.949997,123.059998,121.559998,121.790001,121.790001,0.0,0
09-23-1997,121.760002,122.300003,121.18,122.269997,122.269997,0.0,1
09-24-1997,122.209999,122.449997,119.199997,120.339996,120.339996,0.0,2
09-25-1997,120.25,121.459999,119.93,121.099998,121.099998,0.0,3
09-26-1997,121.029999,121.279999,120.330002,121.160004,121.160004,0.0,4
09-29-1997,121.25,121.449997,120.699997,121.010002,121.010002,0.0,0
