Date,Open,High,Low,Close,Adj Close,Volume,Weekday
07-16-2001,9.2927,9.3669,9.2787,9.3639,9.3639,0.0,0
07-17-2001,9.3763,9.3947,9.2902,9.3141,9.3141,0.0,1
07-18-2001,9.3205,9.3543,9.1561,9.1586,9.1586,0.0,2
07-19-2001,9.1747,9.2184,9.1266,9.1807,9.1807,0.0,3
07-20-2001,9.1421,9.2198,9.12,9.194,9.194,0.0,4
07-23-2001,9.2049,9.2307,9.183,9.2132,9.2132,0.0,0
07-24-2001,9.206,9.2125,9.1311,9.16,9.16,0.0,1
07-25-2001,9.1701,9.19,9.0921,9.1051,9.1051,0.0,2
07-26-2001,9.0803,9.1546,9.0676,9.1055,9.1055,0.0,3
07-27-2001,9.1112,9.1494,9.0666,9.1125,9.1125,0.0,4
07-30-2001,9.1281,9.1544,9.1033,9.1391,9.1391,0.0,0
07-31-2001,9.1189,9.1566,9.1032,9.1186,9.1186,0.0,1
08-01-2001,9.0899,9.1164,9.0595,9.0922,9.0922,0.0,2
08-02-2001,9.0701,9.1044,9.0459,9.0517,9.0517,0.0,3
08-03-2001,9.0603,9.0835,8.989,9.0285,9.0285,0.0,4
08-06-2001,9.0631,9.0945,9.0209,9.0293,9.0293,0.0,0
08-07-2001,9.0873,9.1044,9.0375,9.0757,9.0757,0.0,1
08-08-2001,9.0958,9.1102,9.0322,9.0367,9.0367,0.0,2
08-09-2001,9.0219,9.0425,8.9467,8.9668,8.9668,0.0,3
08-10-2001,8.9527,9.0186,8.9385,9.0097,9.0097,0.0,4
08-13-2001,8.9989,9.0294,8.9506,9.0228,9.0228,0.0,0
08-14-2001,9.0223,9.0407,8.9443,8.9562,8.9562,0.0,1
08-15-2001,8.9325,8.9543,8.8808,8.8878,8.8878,0.0,2
08-16-2001,8.8373,8.9183,8.8241,8.8761,8.8761,0.0,3
08-17-2001,8.8903,8.9184,8.8411,8.8676,8.8676,0.0,4
08-20-2001,8.8584,8.9138,8.8368,8.8898,8.8898,0.0,0
08-21-2001,8.8859,8.9162,8.8332,8.8392,8.8392,0.0,1
