Date,Open,High,Low,Close,Weekday
02-01-1999,3.6674,3.7359,3.656,3.734,0
02-02-1999,3.5993,3.6883,3.5693,3.6579,1
02-03-1999,3.6698,3.6904,3.6079,3.6098,2
02-04-1999,3.6418,3.6886,3.5912,3.6735,3
02-05-1999,3.5543,3.653,3.5337,3.6399,4
02-08-1999,3.3872,3.5524,3.3635,3.5246,0
02-09-1999,3.4203,3.4221,3.3308,3.3927,1
02-10-1999,3.5142,3.5161,3.3819,3.4166,2
02-11-1999,3.544,3.5495,3.4829,3.5069,3
02-12-1999,3.5071,3.5699,3.4922,3.5366,4
02-16-1999,3.502,3.5608,3.4979,3.5035,1
02-17-1999,3.4361,3.5168,3.4343,3.4947,2
02-18-1999,3.4436,3.4875,3.416,3.4416,3
02-19-1999,3.5117,3.5522,3.4509,3.4527,4
02-22-1999,3.4824,3.5449,3.4604,3.5098,0
02-23-1999,3.3969,3.4989,3.3878,3.4787,1
02-24-1999,3.3753,3.4261,3.3191,3.3915,2
02-25-1999,3.5439,3.5587,3.3662,3.3698,3
02-26-1999,3.5035,3.5809,3.4923,3.5476,4
03-01-1999,3.4418,3.5127,3.4156,3.5035,0
03-02-1999,3.5465,3.5815,3.4199,3.44,1
03-03-1999,3.604,3.6114,3.5263,3.5392,2
03-04-1999,3.5302,3.6374,3.5174,3.6188,3
03-05-1999,3.5671,3.606,3.5064,3.5321,4
03-08-1999,3.7219,3.7497,3.5488,3.558,0
03-09-1999,3.6939,3.7801,3.6808,3.7181,1
03-10-1999,3.752,3.7614,3.6622,3.6827,2
03-11-1999,3.8104,3.8274,3.7202,3.7389,3
03-12-1999,3.8202,3.9033,3.8145,3.8748,4
03-15-1999,3.8713,3.8845,3.8126,3.8145,0
03-16-1999,3.8392,3.8903,3.8033,3.8827,1
03-17-1999,3.7397,3.8581,3.7247,3.8411,2
03-18-1999,3.6804,3.749,3.6725,3.7472,3
03-19-1999,3.662,3.6878,3.6267,3.6786,4
03-22-1999,3.6974,3.716,3.6194,3.662,0
03-23-1999,3.5938,3.7068,3.5791,3.6825,1
03-24-1999,3.5059,3.5993,3.4932,3.5846,2
03-25-1999,3.4609,3.5553,3.4554,3.4822,3
03-26-1999,3.4919,3.5191,3.4264,3.4463,4
03-29-1999,3.4975,3.5559,3.4574,3.4774,0
03-30-1999,3.6039,3.6111,3.4123,3.5012,1
03-31-1999,3.5838,3.626,3.5178,3.6113,2
04-01-1999,3.4874,3.5912,3.4506,3.5783,3
04-05-1999,3.4295,3.5038,3.4295,3.4819,0
04-06-1999,3.5369,3.555,3.4006,3.4169,1
04-07-1999,3.5828,3.6028,3.5059,3.5314,2
04-08-1999,3.5153,3.6103,3.4987,3.5736,3
04-09-1999,3.5084,3.6325,3.4698,3.4862,4
04-12-1999,3.6164,3.6384,3.5012,3.5048,0
04-13-1999,3.7441,3.7962,3.5962,3.6054,1
04-14-1999,3.6886,3.7609,3.646,3.7441,2
04-15-1999,3.6905,3.7163,3.6185,3.6812,3
04-16-1999,3.6576,3.7517,3.6466,3.6776,4
04-19-1999,3.7557,3.7949,3.6853,3.6927,0
04-20-1999,3.825,3.8288,3.7448,3.7559,1
04-21-1999,3.8101,3.84,3.7579,3.8269,2
04-22-1999,3.7843,3.8288,3.7413,3.8288,3
04-23-1999,3.688,3.8011,3.6769,3.7657,4
04-26-1999,3.7696,3.8404,3.6696,3.6899,0
04-27-1999,3.863,3.878,3.7529,3.7696,1
04-28-1999,3.8912,3.9024,3.8461,3.8536,2
04-29-1999,4.0847,4.1154,3.805,3.8125,3
04-30-1999,4.1276,4.172,4.0548,4.0923,4
05-03-1999,4.2177,4.241,4.1192,4.1234,0
05-04-1999,4.1542,4.222,4.121,4.2135,1
05-05-1999,4.1616,4.2026,4.0997,4.1584,2
05-06-1999,4.1217,4.2206,4.1092,4.1469,3
05-07-1999,4.0419,4.1109,3.9677,4.1005,4
05-10-1999,4.054,4.0752,3.916,4.0419,0
05-11-1999,4.0123,4.1103,4.0102,4.0478,1
05-12-1999,3.9249,4.0454,3.9064,4.0123,2
05-13-1999,4.0069,4.0819,3.8962,3.9187,3
05-14-1999,4.0875,4.1083,3.9904,4.0028,4
05-17-1999,4.2255,4.2276,4.0501,4.1021,0
05-18-1999,4.2019,4.2889,4.1226,4.2424,1
05-19-1999,4.2241,4.3354,4.1977,4.2167,2
05-20-1999,4.1377,4.2409,4.0963,4.2283,3
05-21-1999,4.0086,4.1377,4.0045,4.1335,4
