Date,Open,High,Low,Close,Volume,Weekday
01-08-1999,4.4883,4.5233,4.4727,4.5065,0.0,4
01-11-1999,4.4313,4.5093,4.4044,4.482,0.0,0
01-12-1999,4.456,4.4774,4.4124,4.4208,0.0,1
01-13-1999,4.4724,4.4791,4.3766,4.4644,0.0,2
01-14-1999,4.3448,4.4912,4.3323,4.4724,0.0,3
01-15-1999,4.0918,4.3135,4.0795,4.2886,0.0,4
01-19-1999,4.0981,4.1187,4.0321,4.1042,0.0,1
01-20-1999,4.2073,4.2549,4.0796,4.1063,0.0,2
01-21-1999,4.2382,4.2485,4.1744,4.2011,0.0,3
01-22-1999,4.2093,4.2691,4.1929,4.2341,0.0,4
01-25-1999,4.1805,4.2258,4.1785,4.199,0.0,0
01-26-1999,4.1229,4.1929,4.1188,4.1826,0.0,1
01-27-1999,4.1435,4.1641,4.1065,4.125,0.0,2
01-28-1999,4.221,4.2528,4.1933,4.2103,0.0,3
01-29-1999,4.1766,4.2401,4.1554,4.2274,0.0,4
02-01-1999,4.1285,4.1999,4.1222,4.1702,0.0,0
02-02-1999,4.0825,4.1412,4.0341,4.1264,0.0,1
02-03-1999,4.1963,4.2131,4.0678,4.0825,0.0,2
02-04-1999,4.2364,4.2616,4.1731,4.2047,0.0,3
02-05-1999,4.1342,4.2385,4.1061,4.2321,0.0,4
02-08-1999,4.2221,4.3079,4.105,4.1447,0.0,0
02-09-1999,4.241,4.2639,4.2054,4.2179,0.0,1
02-10-1999,4.2035,4.2786,4.1973,4.2472,0.0,2
02-11-1999,4.2494,4.289,4.1827,4.2077,0.0,3
02-12-1999,4.4555,4.498,4.2432,4.2474,0.0,4
02-16-1999,4.3534,4.493,4.3534,4.4576,0.0,1
02-17-1999,4.3782,4.3887,4.3139,4.3534,0.0,2
02-18-1999,4.3844,4.4156,4.3388,4.3699,0.0,3
02-19-1999,4.3657,4.4424,4.3657,4.4258,0.0,4
02-22-1999,4.347,4.3822,4.3346,4.3615,0.0,0
02-23-1999,4.3284,4.3636,4.3243,4.3512,0.0,1
02-24-1999,4.3275,4.4361,4.3211,4.3741,0.0,2
02-25-1999,4.2757,4.3253,4.2551,4.3211,0.0,3
02-26-1999,4.2127,4.2778,4.1847,4.2714,0.0,4
03-01-1999,4.2595,4.2764,4.1958,4.2127,0.0,0
03-02-1999,4.2578,4.3102,4.2388,4.2532,0.0,1
03-03-1999,4.2077,4.2641,4.1651,4.2557,0.0,2
03-04-1999,4.2425,4.2981,4.1531,4.1783,0.0,3
03-05-1999,4.2283,4.274,4.1923,4.2362,0.0,4
03-08-1999,4.2204,4.3078,4.1593,4.2095,0.0,0
03-09-1999,4.3796,4.3857,4.1327,4.2183,0.0,1
03-10-1999,4.3589,4.4068,4.3168,4.3754,0.0,2
