Date,Close
12/31/2022,5.7
11/30/2022,6
10/31/2022,6.3
9/30/2022,6.6
8/31/2022,6.3
7/31/2022,5.9
6/30/2022,5.9
5/31/2022,6
4/30/2022,6.2
3/31/2022,6.5
2/28/2022,6.4
1/31/2022,6
12/31/2021,5.5
11/30/2021,4.9
10/31/2021,4.6
9/30/2021,4
8/31/2021,4
7/31/2021,4.3
6/30/2021,4.5
5/31/2021,3.8
4/30/2021,3
3/31/2021,1.6
2/28/2021,1.3
1/31/2021,1.4
12/31/2020,1.6
11/30/2020,1.6
10/31/2020,1.6
9/30/2020,1.7
8/31/2020,1.7
7/31/2020,1.6
6/30/2020,1.2
5/31/2020,1.2
4/30/2020,1.4
3/31/2020,2.1
2/29/2020,2.4
1/31/2020,2.3
12/31/2019,2.3
11/30/2019,2.3
10/31/2019,2.3
9/30/2019,2.4
8/31/2019,2.4
7/31/2019,2.2
6/30/2019,2.1
5/31/2019,2
4/30/2019,2.1
3/31/2019,2
2/28/2019,2.1
1/31/2019,2.2
12/31/2018,2.2
11/30/2018,2.2
10/31/2018,2.1
9/30/2018,2.2
8/31/2018,2.2
7/31/2018,2.4
6/30/2018,2.3
5/31/2018,2.2
4/30/2018,2.1
3/31/2018,2.1
2/28/2018,1.8
1/31/2018,1.8
12/31/2017,1.8
11/30/2017,1.7
10/31/2017,1.8
9/30/2017,1.7
8/31/2017,1.7
7/31/2017,1.7
6/30/2017,1.7
5/31/2017,1.7
4/30/2017,1.9
3/31/2017,2
2/28/2017,2.2
1/31/2017,2.3
12/31/2016,2.2
11/30/2016,2.1
10/31/2016,2.1
9/30/2016,2.2
8/31/2016,2.3
7/31/2016,2.2
6/30/2016,2.2
5/31/2016,2.2
4/30/2016,2.1
3/31/2016,2.2
2/29/2016,2.3
1/31/2016,2.2
12/31/2015,2.1
11/30/2015,2
10/31/2015,1.9
9/30/2015,1.9
8/31/2015,1.8
7/31/2015,1.8
6/30/2015,1.8
5/31/2015,1.7
4/30/2015,1.8
3/31/2015,1.8
2/28/2015,1.7
1/31/2015,1.6
12/31/2014,1.6
11/30/2014,1.7
10/31/2014,1.8
9/30/2014,1.7
8/31/2014,1.7
7/31/2014,1.9
6/30/2014,1.9
5/31/2014,2
4/30/2014,1.8
3/31/2014,1.7
2/28/2014,1.6
1/31/2014,1.6
12/31/2013,1.7
11/30/2013,1.7
10/31/2013,1.7
9/30/2013,1.7
8/31/2013,1.8
7/31/2013,1.7
6/30/2013,1.6
5/31/2013,1.7
4/30/2013,1.7
3/31/2013,1.9
2/28/2013,2
1/31/2013,1.9
12/31/2012,1.9
11/30/2012,1.9
10/31/2012,2
9/30/2012,2
8/31/2012,1.9
7/31/2012,2.1
6/30/2012,2.2
5/31/2012,2.3
4/30/2012,2.3
3/31/2012,2.3
2/29/2012,2.2
1/31/2012,2.3
12/31/2011,2.2
11/30/2011,2.2
10/31/2011,2.1
9/30/2011,2
8/31/2011,2
7/31/2011,1.8
6/30/2011,1.6
5/31/2011,1.5
4/30/2011,1.3
3/31/2011,1.2
2/28/2011,1.1
1/31/2011,1
12/31/2010,0.8
11/30/2010,0.8
10/31/2010,0.6
9/30/2010,0.8
8/31/2010,0.9
7/31/2010,0.9
6/30/2010,0.9
5/31/2010,0.9
4/30/2010,0.9
3/31/2010,1.1
2/28/2010,1.3
1/31/2010,1.6
12/31/2009,1.8
11/30/2009,1.7
10/31/2009,1.7
9/30/2009,1.5
8/31/2009,1.4
7/31/2009,1.5
6/30/2009,1.7
5/31/2009,1.8
4/30/2009,1.9
3/31/2009,1.8
2/28/2009,1.8
1/31/2009,1.7
12/31/2008,1.8
11/30/2008,2
10/31/2008,2.2
