Date,Open,High,Low,Close
2/3/2023,90.59,90.59,90.59,90.59
2/2/2023,90.59,90.59,90.59,90.59
2/1/2023,90.59,90.59,90.59,90.59
1/31/2023,90.5,90.5,90.5,90.5
1/30/2023,89.75,89.75,89.75,89.75
1/27/2023,89.75,89.75,89.75,89.75
1/26/2023,89.55,89.55,89.55,89.55
1/25/2023,89.5,89.5,89.5,89.5
1/24/2023,90,90,90,90
1/23/2023,90,90,90,90
1/20/2023,90.5,90.5,90.5,90.5
1/19/2023,91.5,91.5,91.5,91.5
1/18/2023,92.5,92.5,92.5,92.5
1/17/2023,93.5,93.5,93.5,93.5
1/16/2023,93.5,93.5,93.5,93.5
1/13/2023,93.5,93.5,93.5,93.5
1/12/2023,93.4,93.4,93.4,93.4
1/11/2023,79.85,79.85,79.85,79.85
1/10/2023,79.85,79.85,79.85,79.85
1/9/2023,79.85,79.85,79.85,79.85
1/6/2023,79.85,79.85,79.85,79.85
1/5/2023,79.85,79.85,79.85,79.85
1/4/2023,79.85,79.85,79.85,79.85
1/3/2023,79.7,79.7,79.7,79.7
1/2/2023,79,79,79,79
12/30/2022,79,79,79,79
12/29/2022,79,79,79,79
12/28/2022,79,79,79,79
12/27/2022,78.7,78.7,78.7,78.7
12/23/2022,78,78,78,78
12/22/2022,77.5,77.5,77.5,77.5
12/21/2022,77,77,77,77
12/20/2022,76,76,76,76
12/19/2022,76,76,76,76
12/16/2022,76,76,76,76
12/15/2022,77,77,77,77
12/14/2022,78,78,78,78
12/13/2022,73.55,73.55,73.55,73.55
12/12/2022,73.55,73.55,73.55,73.55
12/9/2022,73.55,73.55,73.55,73.55
12/8/2022,73.55,73.55,73.55,73.55
12/7/2022,73.55,73.55,73.55,73.55
12/6/2022,73.5,73.5,73.5,73.5
12/5/2022,73,73,73,73
12/2/2022,73,73,73,73
12/1/2022,73.25,73.25,73.25,73.25
11/30/2022,73.25,73.25,73.25,73.25
11/29/2022,73,73.25,73,73.25
11/28/2022,73,73,73,73
11/25/2022,73,73,73,73
11/24/2022,71.5,71.5,71.5,71.5
11/23/2022,71.5,71.5,71.5,71.5
11/22/2022,71.5,71.5,71.5,71.5
11/21/2022,71,71,71,71
11/18/2022,69.5,69.5,69.5,69.5
11/17/2022,67.5,67.5,67.5,67.5
11/11/2022,70.26,70.26,70.26,70.26
11/10/2022,70.26,70.26,70.26,70.26
11/9/2022,70.26,70.26,70.26,70.26
11/8/2022,70.26,70.26,70.26,70.26
11/7/2022,70.26,70.26,70.26,70.26
11/4/2022,70,70,70,70
11/3/2022,70,70,70,70
11/2/2022,70,70,70,70
11/1/2022,70,70,70,70
10/31/2022,70,70,70,70
10/28/2022,70,70,70,70
10/27/2022,70,70,70,70
10/26/2022,70.25,70.25,70.25,70.25
10/25/2022,70.25,70.25,70.25,70.25
10/24/2022,70.5,70.5,70.5,70.5
10/21/2022,70.5,70.5,70.5,70.5
10/20/2022,71.5,71.5,71.5,71.5
10/19/2022,72.1,72.1,72.1,72.1
10/18/2022,72.1,72.1,72.1,72.1
10/17/2022,72.1,72.1,72.1,72.1
10/14/2022,70.2,70.2,70.2,70.2
10/13/2022,70.2,70.2,70.2,70.2
10/12/2022,70.1,70.1,70.1,70.1
10/11/2022,62.4,62.4,62.4,62.4
10/10/2022,62.4,62.4,62.4,62.4
10/7/2022,62.4,62.4,62.4,62.4
10/6/2022,62.4,62.4,62.4,62.4
10/5/2022,62.4,62.4,62.4,62.4
10/4/2022,62.25,62.4,62.25,62.4
10/3/2022,62.25,62.25,62.25,62.25
9/30/2022,62.25,62.25,62.25,62.25
9/29/2022,62.25,62.25,62.25,62.25
9/28/2022,62.25,62.25,62.25,62.25
9/27/2022,62.25,62.25,62.25,62.25
9/26/2022,62.25,62.25,62.25,62.25
9/23/2022,62.25,62.25,62.25,62.25
9/22/2022,62,62,62,62
9/21/2022,62,62,62,62
9/20/2022,62,62,62,62
9/19/2022,62,62,62,62
9/16/2022,61.5,61.5,61.5,61.5
9/15/2022,61,61,61,61
9/14/2022,65.53,65.53,65.53,65.53
9/13/2022,65.53,65.53,65.53,65.53
9/12/2022,65.53,65.53,65.53,65.53
9/9/2022,65.53,65.53,65.53,65.53
9/8/2022,65.53,65.53,65.53,65.53
9/7/2022,65.53,65.53,65.53,65.53
9/6/2022,65.5,65.5,65.5,65.5
9/5/2022,65.4,65.5,65.4,65.5
9/2/2022,65.5,65.5,65.5,65.5
9/1/2022,65.5,65.5,65.5,65.5
8/31/2022,65.5,65.5,65.5,65.5
8/30/2022,65.5,65.5,65.5,65.5
8/29/2022,65.5,65.5,65.5,65.5
8/26/2022,65.85,65.85,65.85,65.85
8/25/2022,66.5,66.5,66.5,66.5
8/24/2022,67,67,67,67
8/23/2022,67,67,67,67
8/22/2022,67,67,67,67
8/19/2022,68,68,68,68
8/18/2022,69.9,69.9,69.9,69.9
8/12/2022,84.49,84.49,84.49,84.49
8/11/2022,84.49,84.49,84.49,84.49
8/10/2022,84.49,84.49,84.49,84.49
8/9/2022,84.49,84.49,84.49,84.49
8/8/2022,84.49,84.49,84.49,84.49
8/5/2022,84.49,84.49,84.49,84.49
8/4/2022,84.49,84.49,84.49,84.49
8/3/2022,84.49,84.49,84.49,84.49
8/2/2022,84.25,84.25,84.25,84.25
8/1/2022,85,85,85,85
7/29/2022,85,85,85,85
7/28/2022,84.95,84.95,84.95,84.95
7/27/2022,84.95,84.95,84.95,84.95
7/26/2022,85.05,85.05,85.05,85.05
7/25/2022,85.25,85.25,85.25,85.25
7/22/2022,86.25,86.25,86.25,86.25
7/21/2022,86.75,86.75,86.75,86.75
7/20/2022,88,88,88,88
7/19/2022,88.5,88.5,88.5,88.5
7/18/2022,89,89,89,89
7/15/2022,89.5,89.5,89.5,89.5
7/14/2022,92,92,92,92
7/13/2022,92.75,92.75,92.75,92.75
7/12/2022,103.34,103.34,103.34,103.34
7/11/2022,103.34,103.34,103.34,103.34
7/8/2022,103.34,103.34,103.34,103.34
7/7/2022,103.34,103.34,103.34,103.34
7/6/2022,103.34,103.34,103.34,103.34
7/5/2022,103.2,103.2,103.2,103.2
7/4/2022,103,103,103,103
7/1/2022,103,103,103,103
6/30/2022,103,103,103,103
6/29/2022,103.5,103.5,103.5,103.5
6/28/2022,103.5,103.5,103.5,103.5
6/27/2022,103,103,103,103
6/24/2022,103,103,103,103
6/23/2022,104,104,104,104
6/22/2022,104,104,104,104
6/21/2022,104,104,104,104
6/20/2022,104,104,104,104
6/17/2022,104,104,104,104
6/16/2022,104,104,104,104
6/10/2022,106.97,106.97,106.97,106.97
6/9/2022,106.97,106.97,106.97,106.97
6/8/2022,106.97,106.97,106.97,106.97
6/7/2022,106.97,106.97,106.97,106.97
6/3/2022,106.97,106.97,106.97,106.97
6/2/2022,106.97,106.97,106.97,106.97
6/1/2022,106.97,106.97,106.97,106.97
5/31/2022,107,107,107,107
5/30/2022,106.75,106.75,106.75,106.75
5/27/2022,106.75,106.75,106.75,106.75
5/25/2022,107,107,107,107
5/24/2022,107,107,107,107
5/23/2022,106,106,106,106
5/20/2022,106,106,106,106
5/19/2022,105,105,105,105
5/18/2022,105,105,105,105
5/13/2022,112.69,112.69,112.69,112.69
5/12/2022,112.69,112.69,112.69,112.69
5/11/2022,112.69,112.69,112.69,112.69
5/10/2022,112.69,112.69,112.69,112.69
5/9/2022,112.69,112.69,112.69,112.69
5/6/2022,112.69,112.69,112.69,112.69
5/5/2022,112.69,112.69,112.69,112.69
5/4/2022,112.69,112.69,112.69,112.69
5/3/2022,112.92,112.92,112.92,112.92
5/2/2022,112.5,112.5,112.5,112.5
4/29/2022,112.5,112.5,112.5,112.5
4/28/2022,112.5,112.5,112.5,112.5
4/27/2022,113.5,113.5,113.5,113.5
4/26/2022,113,113,113,113
4/25/2022,113,113,113,113
4/22/2022,109,109,109,109
4/21/2022,105,105,105,105
4/20/2022,103,103,103,103
4/19/2022,101.75,101.75,101.75,101.75
4/13/2022,84.68,84.68,84.68,84.68
4/12/2022,84.68,84.68,84.68,84.68
4/11/2022,84.68,84.68,84.68,84.68
4/8/2022,84.68,84.68,84.68,84.68
4/7/2022,84.68,84.68,84.68,84.68
4/6/2022,84.68,84.68,84.68,84.68
4/5/2022,84.5,84.5,84.5,84.5
4/4/2022,84.5,84.5,84.5,84.5
4/1/2022,84.5,84.5,84.5,84.5
3/31/2022,84.5,84.5,84.5,84.5
3/30/2022,84.5,84.5,84.5,84.5
3/29/2022,84.25,84.25,84.25,84.25
3/28/2022,83.35,83.35,83.35,83.35
3/25/2022,83.35,83.35,83.35,83.35
3/24/2022,83.35,83.35,83.35,83.35
3/23/2022,83.35,83.35,83.35,83.35
3/22/2022,83.35,83.35,83.35,83.35
3/21/2022,83.5,83.5,83.5,83.5
3/18/2022,83.5,83.5,83.5,83.5
3/17/2022,82.5,82.5,82.5,82.5
3/16/2022,82.5,82.5,82.5,82.5
3/15/2022,82.75,82.75,82.75,82.75
3/14/2022,82.75,82.75,82.75,82.75
3/11/2022,84.46,84.46,84.46,84.46
3/10/2022,84.46,84.46,84.46,84.46
3/9/2022,84.46,84.46,84.46,84.46
3/8/2022,84.46,84.46,84.46,84.46
3/7/2022,84.46,84.46,84.46,84.46
3/4/2022,84.46,84.46,84.46,84.46
3/3/2022,84.46,84.46,84.46,84.46
3/2/2022,84.46,84.46,84.46,84.46
3/1/2022,84.4,84.4,84.4,84.4
2/28/2022,83.25,83.25,83.25,83.25
2/25/2022,82.9,82.9,82.9,82.9
2/24/2022,83.15,83.15,83.15,83.15
2/23/2022,84.15,84.15,84.15,84.15
2/22/2022,83.25,83.25,83.25,83.25
2/21/2022,82.9,82.9,82.9,82.9
2/18/2022,82.5,82.5,82.5,82.5
2/11/2022,69.96,69.96,69.96,69.96
2/10/2022,69.96,69.96,69.96,69.96
2/9/2022,69.96,69.96,69.96,69.96
2/8/2022,69.96,69.96,69.96,69.96
2/7/2022,69.96,69.96,69.96,69.96
2/4/2022,69.96,69.96,69.96,69.96
2/3/2022,69.96,69.96,69.96,69.96
2/2/2022,69.96,69.96,69.96,69.96
2/1/2022,69.95,69.95,69.95,69.95
1/31/2022,69.85,69.85,69.85,69.85
1/28/2022,69.85,69.85,69.85,69.85
1/27/2022,69.75,69.75,69.75,69.75
1/26/2022,69.5,69.5,69.5,69.5
1/25/2022,69.5,69.5,69.5,69.5
1/24/2022,69,69,69,69
1/21/2022,69,69,69,69
1/20/2022,68.75,68.75,68.75,68.75
1/19/2022,68.75,68.75,68.75,68.75
1/18/2022,68.75,68.75,68.75,68.75
1/17/2022,68.5,68.5,68.5,68.5
1/14/2022,68.5,68.5,68.5,68.5
1/13/2022,68.5,68.5,68.5,68.5
1/12/2022,67,67,67,67
1/11/2022,67,67,67,67
