Date,Open,High,Low,Close
2/3/2023,0.497,0.501,0.487,0.496
2/2/2023,0.472,0.498,0.471,0.498
2/1/2023,0.489,0.493,0.481,0.492
1/31/2023,0.485,0.5,0.482,0.496
1/30/2023,0.481,0.492,0.473,0.484
1/27/2023,0.483,0.494,0.475,0.491
1/26/2023,0.445,0.497,0.44,0.493
1/25/2023,0.413,0.447,0.409,0.446
1/24/2023,0.392,0.419,0.385,0.419
1/23/2023,0.398,0.403,0.38,0.391
1/20/2023,0.423,0.423,0.384,0.386
1/19/2023,0.422,0.444,0.406,0.441
1/18/2023,0.514,0.518,0.361,0.459
1/17/2023,0.504,0.539,0.502,0.524
1/16/2023,0.516,0.53,0.502,0.527
1/13/2023,0.551,0.575,0.506,0.512
1/12/2023,0.506,0.514,0.503,0.51
1/11/2023,0.504,0.507,0.501,0.505
1/10/2023,0.503,0.509,0.501,0.508
1/6/2023,0.503,0.506,0.501,0.505
1/5/2023,0.465,0.472,0.421,0.434
1/4/2023,0.437,0.47,0.429,0.465
12/30/2022,0.469,0.479,0.418,0.422
12/29/2022,0.464,0.468,0.449,0.461
12/28/2022,0.481,0.487,0.448,0.462
12/27/2022,0.452,0.479,0.45,0.476
12/26/2022,0.385,0.452,0.352,0.447
12/23/2022,0.414,0.414,0.38,0.385
12/22/2022,0.467,0.467,0.391,0.4
12/21/2022,0.427,0.487,0.419,0.48
12/20/2022,0.257,0.444,0.252,0.408
12/19/2022,0.257,0.259,0.255,0.255
12/16/2022,0.257,0.259,0.252,0.254
12/15/2022,0.257,0.261,0.252,0.256
12/14/2022,0.254,0.254,0.251,0.252
12/13/2022,0.252,0.257,0.252,0.254
12/12/2022,0.253,0.257,0.252,0.253
12/9/2022,0.255,0.259,0.253,0.256
12/8/2022,0.255,0.259,0.254,0.255
12/7/2022,0.255,0.256,0.254,0.255
12/6/2022,0.26,0.263,0.251,0.256
12/5/2022,0.259,0.261,0.251,0.255
12/2/2022,0.255,0.262,0.254,0.255
12/1/2022,0.255,0.261,0.252,0.253
11/30/2022,0.255,0.261,0.251,0.253
11/29/2022,0.255,0.264,0.251,0.253
11/28/2022,0.255,0.258,0.251,0.253
11/25/2022,0.254,0.274,0.249,0.254
11/24/2022,0.249,0.251,0.244,0.248
11/22/2022,0.253,0.257,0.246,0.249
11/21/2022,0.254,0.255,0.245,0.247
11/18/2022,0.25,0.252,0.245,0.249
11/17/2022,0.244,0.249,0.241,0.246
11/16/2022,0.237,0.256,0.236,0.248
11/15/2022,0.241,0.249,0.238,0.245
11/14/2022,0.241,0.249,0.236,0.244
11/11/2022,0.242,0.245,0.234,0.242
11/10/2022,0.251,0.253,0.247,0.253
11/9/2022,0.251,0.253,0.248,0.253
11/8/2022,0.251,0.257,0.25,0.252
11/7/2022,0.253,0.257,0.251,0.257
11/4/2022,0.251,0.264,0.251,0.257
11/2/2022,0.252,0.256,0.251,0.254
11/1/2022,0.246,0.257,0.246,0.257
10/31/2022,0.246,0.249,0.24,0.248
10/28/2022,0.252,0.252,0.236,0.248
10/27/2022,0.251,0.262,0.239,0.256
10/26/2022,0.25,0.255,0.25,0.253
10/25/2022,0.255,0.257,0.25,0.255
10/24/2022,0.251,0.257,0.249,0.255
10/21/2022,0.251,0.259,0.251,0.256
10/20/2022,0.256,0.257,0.251,0.255
10/19/2022,0.252,0.259,0.25,0.257
10/18/2022,0.251,0.257,0.25,0.256
10/17/2022,0.251,0.257,0.251,0.255
10/14/2022,0.251,0.253,0.249,0.251
10/13/2022,0.251,0.254,0.25,0.25
10/12/2022,0.251,0.256,0.251,0.256
10/11/2022,0.251,0.257,0.25,0.254
10/7/2022,0.251,0.254,0.25,0.252
10/6/2022,0.25,0.255,0.248,0.254
10/5/2022,0.251,0.253,0.245,0.252
10/4/2022,0.24,0.246,0.206,0.222
10/3/2022,0.252,0.252,0.237,0.246
9/30/2022,0.256,0.257,0.24,0.244
9/29/2022,0.249,0.261,0.244,0.255
9/28/2022,0.256,0.258,0.247,0.247
9/27/2022,0.257,0.267,0.241,0.253
9/26/2022,0.252,0.26,0.249,0.252
9/22/2022,0.261,0.262,0.225,0.237
9/21/2022,0.261,0.271,0.256,0.259
9/20/2022,0.26,0.265,0.256,0.256
9/16/2022,0.257,0.322,0.252,0.257
9/15/2022,0.256,0.263,0.251,0.259
9/14/2022,0.253,0.308,0.253,0.258
9/13/2022,0.251,0.253,0.242,0.245
9/12/2022,0.254,0.255,0.248,0.25
9/9/2022,0.256,0.257,0.248,0.253
9/8/2022,0.25,0.261,0.245,0.252
9/7/2022,0.251,0.258,0.246,0.253
9/6/2022,0.24,0.248,0.236,0.242
9/5/2022,0.241,0.242,0.234,0.236
9/2/2022,0.245,0.25,0.24,0.241
9/1/2022,0.238,0.25,0.234,0.242
8/31/2022,0.234,0.236,0.223,0.226
8/30/2022,0.245,0.245,0.228,0.228
8/29/2022,0.238,0.253,0.234,0.248
8/26/2022,0.221,0.231,0.218,0.223
8/25/2022,0.23,0.237,0.228,0.231
8/24/2022,0.221,0.237,0.22,0.228
8/23/2022,0.226,0.226,0.212,0.221
8/22/2022,0.212,0.223,0.21,0.222
8/19/2022,0.195,0.204,0.194,0.202
8/18/2022,0.199,0.204,0.188,0.204
8/17/2022,0.177,0.196,0.175,0.19
8/16/2022,0.181,0.199,0.169,0.174
8/15/2022,0.196,0.197,0.185,0.19
8/12/2022,0.196,0.206,0.188,0.19
8/10/2022,0.166,0.196,0.164,0.19
8/9/2022,0.169,0.172,0.165,0.169
8/8/2022,0.189,0.191,0.168,0.175
8/5/2022,0.171,0.195,0.166,0.168
8/4/2022,0.186,0.187,0.176,0.178
8/3/2022,0.184,0.213,0.183,0.189
8/2/2022,0.177,0.19,0.168,0.176
8/1/2022,0.186,0.193,0.185,0.186
7/29/2022,0.191,0.198,0.176,0.185
7/28/2022,0.202,0.211,0.196,0.205
7/27/2022,0.207,0.212,0.196,0.2
7/26/2022,0.207,0.216,0.204,0.211
7/25/2022,0.194,0.208,0.177,0.196
7/22/2022,0.225,0.229,0.211,0.215
7/21/2022,0.243,0.244,0.229,0.236
7/20/2022,0.245,0.248,0.242,0.246
7/19/2022,0.234,0.239,0.229,0.239
7/15/2022,0.235,0.238,0.231,0.237
7/14/2022,0.233,0.24,0.229,0.238
7/13/2022,0.235,0.238,0.229,0.232
7/12/2022,0.243,0.244,0.239,0.242
7/11/2022,0.25,0.25,0.244,0.245
7/8/2022,0.245,0.249,0.244,0.244
7/7/2022,0.251,0.251,0.245,0.248
7/6/2022,0.248,0.252,0.246,0.247
7/5/2022,0.233,0.233,0.216,0.223
7/4/2022,0.211,0.24,0.206,0.229
7/1/2022,0.228,0.23,0.221,0.226
6/30/2022,0.225,0.232,0.221,0.231
6/29/2022,0.231,0.236,0.223,0.236
6/28/2022,0.236,0.245,0.234,0.241
6/27/2022,0.233,0.249,0.231,0.245
6/24/2022,0.22,0.235,0.219,0.23
6/23/2022,0.237,0.246,0.228,0.236
6/22/2022,0.235,0.246,0.234,0.246
