Date,Open,High,Low,Close,Volume
2/10/2023,407.45,408.25,400.5,401.2,81881
2/9/2023,404.75,412.05,403.95,409.7,96577
2/8/2023,407,411.65,401.6,403.55,85499
2/7/2023,403.8,408.65,400.25,408.05,90917
2/6/2023,404.15,407.4,399.3,403.5,75842
2/3/2023,409.1,413.6,403.05,405.65,91467
2/2/2023,418.15,419.95,407.8,409.1,82560
2/1/2023,422.35,422.5,410.25,411.1,88150
1/31/2023,418.45,423.15,411.85,422.6,86173
1/30/2023,423,424.9,416.8,420.2,63117
1/27/2023,428.2,428.7,417.2,422.25,63410
1/26/2023,426.45,429,423.25,426.75,58229
1/25/2023,426.45,427.35,421.1,424.45,51109
1/24/2023,425.9,428.25,421.55,424.85,51168
1/23/2023,427.95,430.25,422.6,425.65,57184
1/20/2023,424.5,427.95,420.65,425.15,59745
1/19/2023,422.65,426.85,416.8,423.15,78544
1/18/2023,423.35,435.5,420.5,423.45,104618
1/17/2023,421.05,424.45,411.05,422.3,113107
1/13/2023,417.3,422.25,412.85,421.6,69519
1/12/2023,417.55,421.15,412.95,419.65,96267
1/11/2023,408,418.5,406.55,416.6,88479
1/10/2023,401.2,408.35,398.75,407.75,72221
1/9/2023,392.35,404.45,392.35,402.65,102472
1/6/2023,382.55,393,379.85,391.1,96746
1/5/2023,374.05,384.2,372.15,382.1,76730
1/4/2023,377.1,380.7,370.85,374.05,80266
1/3/2023,383.55,387.15,375.85,376.65,83900
12/30/2022,382.85,385.15,379.55,381.05,43083
12/29/2022,383.5,385.2,380.75,382.4,36867
12/28/2022,384.2,384.2,381.9,383.2,375
12/27/2022,386.4,392.8,383.4,383.35,380
12/23/2022,378.35,381.1,376,380.3,370
12/22/2022,382.2,383.7,375.05,375.15,591
12/21/2022,380.7,381.4,380.4,380.6,578
12/20/2022,374.7,380.55,372.5,379.75,585
12/19/2022,381.1,381.1,375.15,378.3,601
12/16/2022,377.9,379.6,374,376.15,616
12/15/2022,385.75,385.75,375.85,376.3,1002
12/14/2022,383.8,387.65,382.7,387.5,589
12/13/2022,382.1,391.45,380.6,383.95,522
12/12/2022,384.1,384.55,378.95,379.85,542
12/9/2022,388,391.2,385,387.6,599
12/8/2022,383.7,390.45,383.7,388.05,786
12/7/2022,381.85,385.7,377.75,385.55,535
12/6/2022,378.6,385.75,378.6,381.15,856
12/5/2022,387.05,387.15,377,378.95,686
12/2/2022,377.3,385.85,375.6,384.8,660
12/1/2022,378.3,381.25,373.4,381.4,1366
11/30/2022,363.15,378.2,362.7,372.95,2093
11/29/2022,359.5,367.7,359.05,363,8381
11/28/2022,358.5,362.15,354.1,361.15,31550
11/25/2022,364.3,368.85,361.1,362.75,44367
11/23/2022,361.95,365.65,359.1,361.8,38111
11/22/2022,358.15,366.9,357.4,361.45,55767
11/21/2022,364.35,364.8,354.75,357.15,53987
11/18/2022,368.95,370.75,362.75,363.2,53229
11/17/2022,376.1,377.25,366.5,368.8,56357
11/16/2022,381.9,382.35,374.9,377.35,58475
11/15/2022,383.8,388.9,379.15,382,81582
11/14/2022,393.25,396,381.65,383.35,93352
11/11/2022,377.8,394.45,376.15,391.35,111929
11/10/2022,367.8,379.25,362.85,375.8,98306
11/9/2022,366.15,374.8,362.7,370,100618
11/8/2022,360.05,369.95,356.25,368.25,95727
11/7/2022,364.5,366.05,357.8,360.35,102961
11/4/2022,342.55,370.85,341.8,368.65,163688
11/3/2022,343.95,346.45,337.95,342.7,83860
11/2/2022,347.15,351.6,343.3,346.85,72678
11/1/2022,338,350.15,337.8,347.25,80765
10/31/2022,343,344.35,336.15,337.5,66572
10/28/2022,352.65,353,341.6,342.9,73932
10/27/2022,353.9,355.65,349.1,351.95,82342
10/26/2022,340.55,355.45,338.25,354.5,97896
10/25/2022,343.15,344.1,336.25,339.7,60022
10/24/2022,348.5,350.45,342.25,343.05,70070
10/21/2022,339.8,348.25,334.55,347.45,84795
10/20/2022,332.55,343.7,330.3,341.05,77235
10/19/2022,336.6,337.55,330.7,331.8,65737
10/18/2022,341.3,343.55,333.9,336.2,72587
10/17/2022,341.25,346.75,339.05,341.55,56831
10/14/2022,346.35,350.1,340.05,342.35,70497
10/13/2022,342.85,347.7,335.4,344.05,85966
10/12/2022,342.45,346.5,339.8,342.5,56579
10/11/2022,343.65,347.45,338.35,346.2,60599
10/10/2022,338.4,347.7,337.1,343.05,58566
10/7/2022,343.95,344.8,337.3,338.65,53149
10/6/2022,354.15,359.3,343.1,344.6,67872
10/5/2022,349.4,355.55,344.65,350.05,59965
10/4/2022,341.65,353.15,340.2,349,76841
10/3/2022,339.65,342.4,335.2,341,49584
9/30/2022,342.7,347.45,338.85,341.25,75356
9/29/2022,338.1,343.35,330.55,341.8,86454
9/28/2022,333.2,335.25,333.2,338.2,584
