Date,Open,High,Low,Close
2/3/2023,-3327,-3237.46,-3526.18,-3493.25
2/2/2023,-3331.75,-3254.25,-3384.64,-3327
2/1/2023,-3422.25,-3311,-3463.03,-3341
1/31/2023,-3443,-3397.75,-3483.86,-3427.5
1/30/2023,-3395.46,-3310.17,-3462.75,-3443
1/27/2023,-3439,-3249.3,-3439.67,-3410.5
1/26/2023,-3408.61,-3294.73,-3466.5,-3440
1/25/2023,-3432.98,-3340.28,-3470.39,-3408.62
1/24/2023,-3513.49,-3396.94,-3534,-3432.99
1/23/2023,-3468.12,-3401.03,-3528.23,-3514.74
1/20/2023,-3320.43,-3292.78,-3472.09,-3447.66
1/19/2023,-3276.13,-3206.96,-3339.5,-3320.68
1/18/2023,-3283.98,-3220.48,-3521.93,-3276.88
1/17/2023,-3211.27,-3137.38,-3348.5,-3284.48
1/16/2023,-3156.43,-3067.9,-3211.77,-3201
1/13/2023,-3235.5,-2995.12,-3262.5,-3128.5
1/12/2023,-3474,-3171.65,-3475.3,-3235.5
1/11/2023,-3494,-3330,-3537.51,-3478
1/10/2023,-3419,-3267.4,-3506,-3495
1/9/2023,-3534.51,-3317.5,-3534.51,-3419.5
1/6/2023,-3609,-3477.48,-3661.5,-3479.5
1/5/2023,-3490.69,-3459.9,-3678.5,-3609.5
1/4/2023,-3574.31,-3392.94,-3594.98,-3557.67
1/3/2023,-3621.35,-3523,-3683.5,-3574.31
1/2/2023,-3689.22,-3624.06,-3694.33,-3676.45
12/30/2022,-3729.3,-3646.92,-3762.58,-3687.84
12/29/2022,-3833.82,-3710.68,-3835,-3729.06
12/28/2022,-3767.41,-3710.86,-3838.53,-3834.07
12/27/2022,-3729.66,-3641.75,-3764.14,-3758.9
12/26/2022,-3729.91,-3659.3,-3811.02,-3729.66
12/23/2022,-3699.9,-3604.39,-3741,-3729.89
12/22/2022,-3693.49,-3605.02,-3727.47,-3700.65
12/21/2022,-3674.87,-3615.02,-3712.05,-3693.49
12/20/2022,-3907.79,-3634.97,-3929.01,-3674.87
12/19/2022,-3832.61,-3712.14,-3934.09,-3908.79
12/16/2022,-3805,-3718.31,-3917.48,-3829.28
12/15/2022,-3830.59,-3730.49,-3858.3,-3806
12/14/2022,-3859.33,-3741.97,-3876,-3841.3
12/13/2022,-3984.31,-3741,-4004.7,-3859.83
12/12/2022,-3933.75,-3838,-3997.18,-3984.81
12/9/2022,-3829.91,-3711.6,-3937.12,-3919.19
12/8/2022,-3787,-3716.36,-3846,-3830.91
12/7/2022,-3863.76,-3736,-3898,-3829.5
12/6/2022,-3872.79,-3758.64,-3905,-3858.76
12/5/2022,-3742.58,-3681.59,-3883.33,-3872.28
12/2/2022,-3789.85,-3704,-3873.68,-3741.94
12/1/2022,-4044.25,-3775.44,-4044.25,-3789.35
11/30/2022,-4084.44,-3989.36,-4163.2,-4044.75
11/29/2022,-4071.08,-3986.81,-4120.04,-4083.44
11/28/2022,-4115.19,-3959.63,-4132.62,-4071.08
11/25/2022,-4128.83,-3987.07,-4161,-4114.7
11/24/2022,-4208,-4068.16,-4209.08,-4129.33
11/23/2022,-4307.57,-4188.49,-4322.97,-4264.86
11/22/2022,-4391,-4268.48,-4392.18,-4308.57
11/21/2022,-4321.58,-4230.27,-4440.08,-4392.78
11/18/2022,-4271.06,-4175.62,-4331.03,-4324.18
11/17/2022,-4181,-4050.97,-4321,-4270.07
11/16/2022,-4320,-4116.5,-4364.51,-4181
11/15/2022,-4282.4,-4167.65,-4413.52,-4322
