Date,Open,High,Low,Close
1/27/2023,87.35,88.325,86.2,86.45
1/26/2023,85.725,87.4,83.7,87
1/25/2023,85.85,85.85,84.5,85.325
1/24/2023,86.1,86.25,84,85.375
1/23/2023,86.05,86.525,84.625,85.45
1/20/2023,84.95,86.55,84.5,85.725
1/19/2023,86.075,86.225,84.075,84.4
1/18/2023,87.85,87.85,86.1,86.2
1/17/2023,88.25,89.075,87.525,88.125
1/13/2023,87.25,87.875,85.95,87.275
1/12/2023,88.4,88.725,86.25,87.175
1/11/2023,89.55,89.575,88.025,88.4
1/10/2023,90.825,90.85,89.375,89.525
1/9/2023,89.75,91.425,89.6,90.8
1/6/2023,91.4,91.55,89.575,89.65
1/5/2023,92.65,92.85,90.8,91.525
1/4/2023,93.65,95.025,92.5,92.9
1/3/2023,95.275,95.4,92.925,93.8
12/30/2022,95.7,96.15,94.975,95.3
12/29/2022,95.95,96.575,95.5,95.7
12/28/2022,95.675,96.85,95.5,96.575
12/27/2022,95.25,97.4,95.225,96.45
12/23/2022,95.875,96.1,94.6,95.375
12/22/2022,95.15,96.125,94.475,96.025
12/21/2022,91.975,95.575,91.925,95.275
12/20/2022,92.75,93.175,91.925,92.175
12/19/2022,92.1,93.425,92.1,93
12/16/2022,89.425,93.175,89.425,92.725
12/15/2022,90.4,90.75,89.1,89.175
12/14/2022,91.375,92,90.35,90.725
12/13/2022,90.65,92.25,90.6,91.35
12/12/2022,91.075,91.1,89.8,90.65
12/9/2022,90.7,91.4,90.05,91
12/8/2022,92.125,92.275,89.325,90.75
12/7/2022,92.925,93.525,91.85,92.825
12/6/2022,95.125,95.4,92.475,92.8
12/5/2022,95.5,96.775,95.125,95.825
12/2/2022,93.85,96,93.625,95.825
12/1/2022,90.85,94.4,90.125,94.25
11/30/2022,89.5,91.4,89.1,90.65
11/29/2022,90.75,90.9,89.625,89.75
11/28/2022,93.275,93.575,90.25,90.5
11/25/2022,94.15,95.5,93.725,94.025
11/23/2022,95.275,95.775,94.475,94.6
11/22/2022,95.375,96.125,94.95,95.55
11/21/2022,95.1,96.025,94.875,95.475
11/18/2022,95.75,95.85,94.55,94.925
11/17/2022,95.425,96.4,95,96
11/16/2022,95.5,95.725,94.975,95.625
11/15/2022,94.375,95.85,94.15,95.5
11/14/2022,94.6,95,93.925,94.375
11/11/2022,94.575,94.9,93.6,94.1
11/10/2022,94.575,94.6,93.725,94.225
11/9/2022,93.65,94.9,93.575,94.625
11/8/2022,94.3,94.5,93.35,94.2
11/7/2022,92.35,94.8,92.175,94.35
11/4/2022,93.1,93.2,92.25,92.4
11/3/2022,92.65,93.375,92.375,92.55
11/2/2022,93,93.1,92.325,92.65
11/1/2022,93.275,94.475,93.25,93.6
10/31/2022,93.25,93.8,92.05,93.6
10/28/2022,92.1,93.275,91.7,92.7
10/27/2022,93.75,93.875,91.7,92.125
10/26/2022,93.65,94.675,93.625,94.175
10/25/2022,93.75,94.25,93.225,93.95
10/24/2022,93.525,94,92.8,93.9
10/21/2022,92.875,94.2,92.75,93.85
10/20/2022,92.725,93.15,92.25,93.125
10/19/2022,91.9,92.825,91.775,92.75
10/18/2022,89.675,91.85,89.475,91.75
10/17/2022,87.35,89.7,86.75,89.6
10/14/2022,85.575,87.2,85.025,86.95
10/13/2022,85.475,85.6,84.725,85.4
10/12/2022,85.3,85.675,84.6,85.55
10/11/2022,84.525,85.2,84.25,84.9
10/10/2022,85.725,86.175,84.6,84.7
10/7/2022,85.75,86.1,85,85.4
10/6/2022,85.4,85.85,85.025,85.625
10/5/2022,83.3,84.925,83,84.525
10/4/2022,85.9,87.3,82.625,83.3
10/3/2022,85.3,86,84.975,85.675
9/30/2022,86.075,86.375,84.6,85.3
9/29/2022,86,87.175,84.675,84.775
9/28/2022,86.925,87.025,84.8,85.225
9/27/2022,89.725,90.35,86.3,86.6
9/26/2022,92.075,92.75,88.575,89.2
9/23/2022,94.3,94.4,92.25,92.475
9/22/2022,95.25,95.475,94.475,94.725
9/21/2022,96.175,96.25,95.425,95.55
9/20/2022,95.725,96.45,95.7,96.35
9/19/2022,95.875,96.075,95.125,95.95
9/16/2022,95.075,95.8,94.7,95.75
9/15/2022,93.85,95.5,93.85,95.375
9/14/2022,93.95,94.5,93.6,93.775
9/13/2022,92.075,94.025,91.95,93.95
9/12/2022,92.15,92.5,91.625,92
9/9/2022,91.125,92.25,90.4,92.075
9/8/2022,91.9,92.275,90.425,91.525
9/7/2022,91.525,92.95,91.525,91.9
9/6/2022,90.85,91.525,90.625,91.475
9/2/2022,91.45,91.575,90.55,91.15
9/1/2022,91.75,92.4,91.05,91.675
8/31/2022,92.25,92.25,91.075,91.875
8/30/2022,91.475,92.625,91.175,92.25
8/29/2022,90.225,91.75,89.8,91.525
8/26/2022,89.75,90.375,89.35,90.2
8/25/2022,89.65,90.275,89.125,89.75
8/24/2022,90.925,91.45,89.525,89.625
8/23/2022,91.9,93.775,91.275,91.375
8/22/2022,90.525,91.575,89.825,91.5
8/19/2022,92.55,92.55,90.2,90.55
8/18/2022,93.925,93.975,92.05,92.5
8/17/2022,93.45,94.125,92.65,93.975
8/16/2022,95.45,95.7,92.775,92.975
8/15/2022,94.9,95.75,94.575,95.5
8/12/2022,95,95.35,94.875,95.175
8/11/2022,94.7,95.275,94.55,95.225
8/10/2022,94.45,94.675,94.05,94.6
8/9/2022,94.2,94.4,93.725,94.325
8/8/2022,93.95,94.35,93.6,94.3
8/5/2022,93.725,94.075,93.625,93.825
8/4/2022,92.55,94.075,92.225,94.025
8/3/2022,93.7,93.9,92.775,93.225
8/2/2022,93.575,93.8,93.225,93.75
8/1/2022,93.375,93.75,92.825,93.625
7/29/2022,92.5,93.65,92.125,93.6
7/28/2022,93.2,93.45,92.225,92.525
7/27/2022,92.65,93.325,92.65,93.125
7/26/2022,93.05,93.15,92.175,92.8
7/25/2022,91.75,93.25,91.75,93.05
7/22/2022,91.425,92.2,91.3,91.9
7/21/2022,92.125,92.175,91.45,91.8
7/20/2022,91.95,92.225,91.375,92.125
7/19/2022,91.8,91.9,90.8,91.75
7/18/2022,91.525,92.5,90.925,92.175
7/15/2022,91.25,91.9,90.525,90.75
7/14/2022,91.775,91.8,90.9,91.5
7/13/2022,91.5,92,91.45,91.825
7/12/2022,91.275,91.625,90.1,90.8
7/11/2022,91.6,92,90.95,91.125
7/8/2022,90.425,91.875,90.275,91.6
7/7/2022,89.7,91,89.55,90.425
7/6/2022,90.05,90.7,89.3,89.675
