Date,Close
1/29/2023,89.77
1/22/2023,94.98
1/15/2023,97.51
1/8/2023,89.67
1/1/2023,86.33
12/25/2022,74.71
12/18/2022,77.35
12/11/2022,77.77
12/4/2022,81.7
11/27/2022,78
11/20/2022,70.55
11/13/2022,68.43
11/6/2022,70.76
10/30/2022,70.64
10/23/2022,72.09
10/16/2022,72.88
10/9/2022,69.38
10/2/2022,65.67
9/25/2022,64.55
9/18/2022,64.49
9/11/2022,61.8
9/4/2022,61.94
8/28/2022,64.62
8/21/2022,69.86
8/14/2022,73.83
8/7/2022,75.23
7/31/2022,74.23
7/24/2022,80.74
7/17/2022,88.52
7/10/2022,90.29
7/3/2022,93.13
6/26/2022,97.43
6/19/2022,98.43
6/12/2022,96.66
6/5/2022,95.88
5/29/2022,95.13
5/22/2022,92.71
5/15/2022,97.65
5/8/2022,108.21
5/1/2022,107.75
4/24/2022,98.93
4/17/2022,94.63
4/10/2022,93.21
4/3/2022,84.16
3/27/2022,83.53
3/20/2022,78.28
3/13/2022,83.23
3/6/2022,83.75
2/27/2022,87.92
2/20/2022,87.6
2/13/2022,77.55
2/6/2022,74.42
1/30/2022,70.56
1/23/2022,72.97
1/16/2022,72.05
1/9/2022,67.32
12/26/2021,71.32
12/19/2021,71.77
12/12/2021,65.06
12/5/2021,61.11
11/28/2021,61.84
11/21/2021,58.13
11/14/2021,54.86
11/7/2021,56.09
10/31/2021,57.98
10/24/2021,59.63
10/17/2021,58.39
10/10/2021,55.33
10/3/2021,53.54
9/26/2021,52.88
9/19/2021,53.43
9/12/2021,52.3
9/5/2021,54.41
8/29/2021,54.08
8/22/2021,56.91
8/15/2021,59.08
8/8/2021,58.52
8/1/2021,62.03
7/25/2021,66.05
7/18/2021,64.69
7/11/2021,59.85
7/4/2021,59.17
6/27/2021,60.12
6/20/2021,61.45
6/13/2021,57.64
6/6/2021,59.59
5/30/2021,63.53
5/23/2021,68.48
5/16/2021,71.08
5/9/2021,65.06
5/2/2021,65.74
4/25/2021,61.13
4/18/2021,60.99
4/11/2021,65.17
4/4/2021,65.25
3/28/2021,62.06
3/21/2021,59.97
3/14/2021,62.79
3/7/2021,63.31
2/28/2021,55.51
2/21/2021,51.07
2/14/2021,51.21
2/7/2021,47.31
1/31/2021,47.94
1/24/2021,49.81
1/17/2021,46.55
1/10/2021,50.38
12/20/2020,46.24
12/13/2020,46.09
12/6/2020,46.35
11/29/2020,47.67
11/22/2020,48.58
11/15/2020,47.98
11/8/2020,46.9
11/1/2020,47.09
10/25/2020,48.04
10/18/2020,50
10/11/2020,48.58
10/4/2020,49.83
9/27/2020,50.77
9/20/2020,48.5
9/13/2020,49.46
9/6/2020,48.9
8/30/2020,49.25
8/23/2020,52.61
8/16/2020,51.7
8/9/2020,49.62
8/2/2020,49.72
7/26/2020,52.23
7/19/2020,52.68
7/12/2020,58.69
7/5/2020,59.81
6/28/2020,59.01
6/21/2020,61.92
6/14/2020,69.94
6/7/2020,69.23
5/31/2020,64.28
5/24/2020,65.46
5/17/2020,59.17
5/10/2020,54.66
5/3/2020,55.85
4/26/2020,56.46
4/19/2020,56.11
4/12/2020,59.34
4/5/2020,60.04
3/29/2020,58.95
3/22/2020,61.29
3/15/2020,66.17
3/8/2020,67.74
3/1/2020,72.8
2/23/2020,68.42
2/16/2020,64.49
2/9/2020,65.56
2/2/2020,70.25
1/26/2020,75.53
1/19/2020,76.38
1/12/2020,77.63
1/5/2020,78.2
12/22/2019,75.05
12/15/2019,68.76
12/8/2019,63.72
12/1/2019,63.25
11/24/2019,61.56
