Date,USDJPY=X_Open,USDJPY=X_Close,USDJPY=X_High,USDJPY=X_Low,GJGB10 Index_Open,GJGB10 Index_Close,GJGB10 Index_High,GJGB10 Index_Low,USGG10YR Index_Open,USGG10YR Index_Close,USGG10YR Index_High,USGG10YR Index_Low
07-17-2013,99.941002,99.945999,100.054001,99.25,1.584,1.575,1.613,1.57,3.8009,3.8291,3.8498,3.7709
07-18-2013,99.160004,99.160004,99.924004,99.081001,1.664,1.584,1.664,1.575,3.8291,3.8009,3.8555,3.7747
07-19-2013,99.671997,99.660004,100.650002,99.478996,1.65,1.664,1.683,1.633,3.8104,3.8292,3.8442,3.786
07-22-2013,100.5,100.522003,100.852997,99.870003,1.645,1.65,1.66,1.63,3.8349,3.8104,3.8575,3.7991
07-23-2013,100.348999,100.389,100.348999,99.331001,1.575,1.62,1.628,1.575,3.8858,3.8349,3.9086,3.818
07-24-2013,99.313004,99.323997,100.169998,99.213997,1.595,1.575,1.623,1.575,3.9314,3.886,3.9599,3.8709
07-25-2013,99.500999,99.497002,100.396004,99.431999,1.605,1.595,1.623,1.58,3.8954,3.9314,3.9599,3.8633
07-26-2013,100.416,100.452003,100.416,99.456001,1.555,1.575,1.59,1.555,3.9904,3.8954,3.9924,3.8935
07-29-2013,99.247002,99.275002,99.352997,97.984001,1.58,1.555,1.58,1.54,3.9276,3.9904,4.0383,3.9087
07-30-2013,97.981003,97.959999,98.191002,97.639999,1.605,1.589,1.628,1.583,3.92,3.9276,3.958,3.8992
07-31-2013,98.061996,98.042999,98.448997,97.764,1.584,1.604,1.625,1.555,4.0613,3.92,4.0613,3.9106
08-01-2013,97.991997,98.015999,98.461998,97.591003,1.635,1.584,1.635,1.575,4.0167,4.0501,4.0876,3.9912
08-02-2013,97.843002,97.833,99.371002,97.648003,1.62,1.62,1.665,1.615,3.9619,4.0167,4.0265,3.9541
08-05-2013,99.435997,99.419998,99.93,98.671997,1.704,1.624,1.704,1.62,3.9307,3.9619,3.9794,3.9229
08-06-2013,98.891998,98.934998,99.143997,98.282997,1.655,1.704,1.71,1.643,3.9462,3.9307,4.0009,3.921
08-07-2013,98.264,98.232002,98.570999,97.545998,1.665,1.65,1.665,1.615,4.044,3.9462,4.0597,3.9384
08-08-2013,97.296997,97.307999,97.503998,96.424004,1.665,1.665,1.695,1.65,4.038,4.0439,4.1149,4.0086
08-09-2013,96.559998,96.57,96.926003,95.806999,1.68,1.665,1.695,1.655,4.0067,4.038,4.0852,3.9988
08-12-2013,96.763,96.739998,96.940002,96.18,1.605,1.68,1.69,1.605,4.1029,4.0008,4.1069,3.9929
08-13-2013,96.023003,96.043999,96.902,96.013,1.635,1.601,1.635,1.595,4.0027,4.0969,4.1108,3.9754
08-14-2013,97.171997,97.199997,98.239998,97.146004,1.655,1.62,1.655,1.595,4.1165,3.9968,4.1284,3.9948
08-15-2013,98.119003,98.153,98.419998,97.867996,1.685,1.656,1.698,1.65,4.0987,4.1165,4.1699,4.0987
08-16-2013,97.813004,97.852997,98.600998,97.589996,1.688,1.685,1.705,1.673,4.0378,4.0987,4.1243,4.0065
08-19-2013,97.095001,97.055,97.736,97.095001,1.715,1.706,1.74,1.7,4.0829,4.0416,4.1124,4.0299
08-20-2013,97.664001,97.667,98.108002,97.360001,1.75,1.724,1.75,1.715,3.9908,4.0828,4.0986,3.9597
08-21-2013,97.616997,97.579002,97.850998,96.900002,1.8,1.765,1.815,1.743,3.9305,3.9907,4.0572,3.9189
08-22-2013,97.303001,97.309998,97.740997,97.122002,1.8,1.799,1.813,1.758,3.8188,3.9344,3.9596,3.7996
08-23-2013,97.793999,97.809998,98.777,97.767998,1.825,1.785,1.825,1.765,3.8668,3.8188,3.8726,3.7653
08-26-2013,98.871002,98.878998,99.125,98.410004,1.885,1.844,1.895,1.83,3.9518,3.8553,4.0219,3.8361
08-27-2013,98.708,98.705002,98.828003,98.272003,1.86,1.885,1.905,1.86,3.8016,3.9576,3.9693,3.7901
08-28-2013,98.266998,98.258003,98.383003,97.155998,1.807,1.871,1.895,1.807,3.8112,3.7959,3.8495,3.7826
08-29-2013,96.910004,96.891998,97.802002,96.910004,1.846,1.807,1.846,1.795,3.8822,3.8112,3.9188,3.8055
08-30-2013,97.736,97.727997,98.505997,97.457001,1.79,1.846,1.855,1.79,3.8995,3.8822,3.9304,3.8668
09-02-2013,98.286003,98.292,98.452003,97.905998,1.735,1.809,1.855,1.735,3.975,3.8995,4.0022,3.8591
09-03-2013,98.353996,98.385002,99.400002,98.353996,1.79,1.726,1.79,1.72,3.975,3.8995,4.0022,3.8591
09-04-2013,99.571999,99.57,99.859001,99.181999,1.736,1.796,1.813,1.736,3.9575,3.975,4.01,3.9304
09-05-2013,99.580002,99.554001,99.792999,99.332001,1.765,1.736,1.785,1.73,3.9982,3.9575,4.0352,3.9478
09-06-2013,99.732002,99.727997,100.148003,99.596001,1.725,1.775,1.775,1.713,3.9691,4.002,4.002,3.8938
09-09-2013,100.099998,100.115997,100.110001,98.584,1.775,1.72,1.775,1.698,3.9729,3.969,4.0098,3.94
09-10-2013,100.018997,99.976997,100.044998,99.339996,1.76,1.788,1.8,1.76,4.0331,3.9652,4.0448,3.9478
09-11-2013,99.723,99.719002,100.443001,99.470001,1.82,1.759,1.82,1.745,4.1034,4.033,4.1348,4.0155
09-12-2013,100.304001,100.285004,100.580002,99.896004,1.76,1.8,1.823,1.76,4.0955,4.0994,4.18,4.0838
09-13-2013,99.806,99.830002,99.880997,99.089996,1.769,1.744,1.79,1.733,4.1642,4.0818,4.176,4.0759
09-16-2013,99.552002,99.578003,99.971001,99.260002,1.75,1.77,1.795,1.748,4.1366,4.1641,4.176,4.1189
09-17-2013,99.016998,99.014999,99.099998,98.648003,1.75,1.77,1.795,1.748,4.2016,4.1641,4.2016,4.1189
09-18-2013,99.091003,99.07,99.375999,99.050003,1.744,1.75,1.76,1.725,4.1443,4.2073,4.2172,4.105
09-19-2013,99.125,99.127998,99.328003,98.809998,1.71,1.74,1.765,1.705,4.2092,4.1363,4.227,4.1285
09-20-2013,98.228996,98.209999,99.550003,98.0,1.635,1.675,1.7,1.613,4.2666,4.1973,4.2666,4.1815
09-23-2013,99.393997,99.389999,99.650002,99.171997,1.649,1.615,1.649,1.61,4.2566,4.2666,4.2725,4.2051
09-24-2013,99.279999,99.277,99.293999,98.660004,1.649,1.615,1.649,1.61,4.2071,4.2565,4.2744,4.1676
09-25-2013,98.769997,98.739998,99.160004,98.5,1.67,1.655,1.68,1.645,4.0735,4.2108,4.2266,4.0579
09-26-2013,98.730003,98.745003,98.793999,98.392998,1.705,1.679,1.705,1.663,4.0988,4.0735,4.1223,4.0094
09-27-2013,98.442001,98.434998,99.116997,98.275002,1.678,1.704,1.72,1.658,3.9977,4.1027,4.1164,3.9861
09-30-2013,98.899002,98.904999,98.976997,98.193001,1.71,1.679,1.72,1.668,3.9226,3.9977,4.0345,3.8881
10-01-2013,97.799004,97.827003,98.301003,97.509003,1.588,1.681,1.718,1.588,4.0287,3.9092,4.0539,3.9053
10-02-2013,98.386002,98.400002,98.693001,97.667999,1.595,1.59,1.615,1.583,3.9764,4.0383,4.0499,3.9476
10-03-2013,97.933998,97.926003,98.07,97.150002,1.565,1.594,1.603,1.56,3.8939,3.9764,3.988,3.8519
10-04-2013,97.346001,97.300003,97.861,97.036003,1.66,1.564,1.66,1.564,3.9629,3.8939,4.0227,3.871
10-07-2013,97.253998,97.259003,97.373001,96.968002,1.665,1.67,1.695,1.655,4.0537,3.9571,4.0654,3.9456
10-08-2013,97.255997,97.290001,97.273003,96.820999,1.645,1.672,1.69,1.645,4.0751,4.0595,4.0751,4.0169
10-09-2013,97.255997,97.290001,97.273003,96.820999,1.585,1.649,1.658,1.585,3.9975,4.075,4.1354,3.9898
10-10-2013,96.916,96.901001,97.459999,96.916,1.565,1.585,1.59,1.54,3.9188,4.0033,4.0284,3.8977
10-11-2013,97.474998,97.478996,98.199997,97.460999,1.64,1.585,1.64,1.575,3.8425,3.9188,3.9302,3.8425
10-14-2013,98.239998,98.184998,98.544998,98.211998,1.645,1.63,1.685,1.605,3.9111,3.8425,3.9437,3.8236
10-15-2013,98.334999,98.314003,98.334999,98.089996,1.645,1.63,1.685,1.605,3.9111,3.8425,3.9437,3.8236
10-16-2013,98.639,98.650002,98.690002,98.360001,1.495,1.61,1.645,1.495,3.8104,3.9111,3.9551,3.7915
10-17-2013,98.563004,98.543999,98.935997,98.249001,1.459,1.499,1.508,1.445,3.7746,3.8067,3.8407,3.7614
10-18-2013,98.966003,98.940002,98.978996,97.733002,1.49,1.464,1.493,1.445,3.8332,3.7746,3.8483,3.7708
10-21-2013,97.976997,97.989998,98.150002,97.550003,1.46,1.478,1.485,1.438,3.8446,3.8294,3.8845,3.8086
10-22-2013,97.962997,97.927002,98.237,97.916,1.415,1.455,1.46,1.413,3.8143,3.8446,3.8864,3.7709
10-23-2013,98.193001,98.194,98.480003,97.914001,1.39,1.405,1.41,1.38,3.9112,3.8144,3.9494,3.8125
10-24-2013,98.120003,98.133003,98.183998,97.169998,1.355,1.385,1.4,1.345,3.9093,3.9112,3.9743,3.8541
10-25-2013,97.400002,97.419998,97.598999,97.177002,1.355,1.359,1.37,1.345,3.7974,3.9131,3.9169,3.7447
10-28-2013,97.386002,97.385002,97.474998,96.958,1.34,1.353,1.37,1.34,3.7654,3.7974,3.7993,3.7241
10-29-2013,97.612999,97.57,97.776001,97.456001,1.38,1.345,1.38,1.343,3.7861,3.7692,3.7861,3.7223
10-30-2013,97.626999,97.620003,98.072998,97.459999,1.34,1.384,1.393,1.34,3.875,3.7748,3.8807,3.7654
10-31-2013,98.184998,98.194,98.309998,98.100998,1.345,1.34,1.368,1.335,3.9165,3.8475,3.9482,3.8357
11-01-2013,98.475998,98.507004,98.498001,98.121002,1.335,1.35,1.355,1.335,3.8671,3.9164,3.9263,3.7984
11-04-2013,98.332001,98.320999,98.832001,97.830002,1.355,1.335,1.355,1.323,3.8513,3.867,3.8867,3.816
11-05-2013,98.704002,98.692001,98.825996,98.580002,1.355,1.335,1.355,1.323,3.7573,3.8551,3.8768,3.7107
11-06-2013,98.629997,98.626999,98.634003,98.169998,1.345,1.349,1.36,1.31,3.728,3.763,3.7805,3.6776
11-07-2013,98.458,98.456001,98.739998,98.405998,1.369,1.34,1.369,1.34,3.8195,3.7279,3.847,3.7221
11-08-2013,98.653,98.650002,99.390999,98.555,1.375,1.369,1.395,1.36,3.8312,3.8194,3.839,3.7667
11-11-2013,98.165001,98.170998,99.202003,97.991997,1.36,1.385,1.38,1.348,3.8704,3.8252,3.8999,3.8194
